# start_time,end_time,note
0.506,2.281,A4
2.350,3.170,A4
3.378,5.016,B4
5.085,6.305,A4
6.373,7.749,G4
7.836,9.962,A4
10.014,11.319,D4
11.319,12.730,E4
12.922,13.863,D4
14.227,15.447,E4
15.500,16.788,A3
16.788,18.198,B3
18.216,21.438,D4
21.507,22.239,A4
22.308,24.085,B4
24.155,25.514,A4
25.582,27.028,B4
27.150,28.072,D5
28.072,29.605,B4
29.675,31.782,A4
31.834,33.175,D4
33.263,34.585,E4
34.656,35.858,D4
35.997,37.251,E4
37.425,38.608,A3
38.645,40.002,B3
40.160,43.258,D4
43.329,44.078,A4
44.165,45.959,B4
46.045,47.421,A4
47.490,48.675,G4
48.744,50.869,A4
50.922,52.245,D4
52.332,53.639,E4
53.673,54.996,A3
54.996,56.598,B3
56.651,59.646,D4
59.716,60.430,A4
60.499,62.328,B4
62.415,64.470,A4
64.523,65.829,D4
66.019,67.273,E4
67.431,70.548,D4
70.635,71.349,A4
71.436,73.212,B4
73.299,75.406,A4
75.459,76.818,D4
76.956,78.159,E4
78.210,81.450,D4
81.537,82.233,A4
82.303,83.766,A4
83.784,86.761,D4
86.796,87.615,D4
87.650,89.251,A4
89.269,92.352,D4
92.439,93.153,A4
93.240,94.684,A4
94.703,96.462,D4
96.549,97.245,A4
97.367,99.057,D4
99.092,99.980,A4
100.066,101.600,D4
101.650,102.783,A4
102.870,120.703,D4
120.756,122.026,D4
122.044,124.482,D4
124.516,127.826,A4
127.896,129.201,G4
129.272,130.560,G4
130.629,131.901,A4
131.970,133.208,A4
133.260,136.794,E4
136.846,138.727,A4
138.798,140.103,G4
140.155,141.322,G4
141.341,142.281,B3
142.385,143.604,D4
143.865,146.947,E4
147.017,149.316,G4
149.385,151.040,E4
151.110,152.381,G4
152.451,154.523,A4
154.593,157.710,B4
157.850,159.974,D5
160.008,161.367,B4
161.385,164.049,D5
164.363,165.930,B4
165.999,168.578,A4
168.647,171.468,B4
171.537,172.878,A4
172.949,173.940,G4
174.011,177.685,E4
177.737,179.670,A4
179.740,180.436,A4
180.629,182.439,E4
182.492,183.240,G4
183.240,184.529,F#4
184.529,187.785,E4
187.872,189.213,G4
189.284,190.380,G4
190.398,191.320,B3
191.600,192.696,D4
192.696,194.682,E4
194.751,196.806,G4
196.877,198.147,B3
198.147,201.474,A3
201.543,202.240,B4
202.327,203.564,B4
203.598,204.243,A4
204.330,208.754,A4
209.154,212.951,A4
