timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-17T14:20:25.144,6,1175,596,1185,604,10,8,44.76,117
2025-10-17T14:20:31.546,12,506,417,461,417,-45,0,36.37,117
2025-10-17T14:20:37.948,11,1621,953,1605,965,-16,12,37.99,117
2025-10-17T14:20:44.360,0,283,238,221,240,-62,2,32.84,111
2025-10-17T14:20:50.777,14,1398,417,1346,429,-52,12,54.7,113
2025-10-17T14:20:57.179,7,1621,596,1590,642,-31,46,49.43,112
2025-10-17T14:21:03.587,4,283,596,247,641,-36,45,50.93,113
2025-10-17T14:21:10.004,2,1175,238,1132,256,-43,18,38.16,113
2025-10-17T14:21:16.421,8,283,953,257,918,-26,-35,45.51,109
2025-10-17T14:21:22.823,3,1621,238,1599,231,-22,-7,45.08,114
2025-10-17T14:21:29.226,13,952,417,961,421,9,4,50.34,114
2025-10-17T14:21:35.636,5,729,596,730,604,1,8,66.24,116
2025-10-17T14:21:42.039,1,729,238,707,256,-22,18,70.6,112
2025-10-17T14:21:48.442,10,1175,953,1176,893,1,-60,43.3,112
2025-10-17T14:21:54.846,17,1398,774,1389,786,-9,12,48.71,114
2025-10-17T14:22:01.258,15,506,774,504,801,-2,27,48.4,114
2025-10-17T14:22:07.658,9,729,953,662,998,-67,45,50.02,114
2025-10-17T14:22:14.076,16,952,774,910,797,-42,23,46.02,113
