x,y
919,810
892,814
848,827
834,845
830,828
841,799
827,771
855,767
878,745
899,770
917,786
911,806
910,801
884,777
880,752
901,750
908,725
908,710
924,702
939,711
915,744
893,771
882,788
896,769
900,758
909,760
923,744
934,721
933,710
910,718
885,742
876,749
878,747
881,754
893,760
900,732
895,736
871,751
833,762
807,757
802,743
832,736
844,741
845,751
850,773
872,785
857,748
823,747
808,759
802,754
825,739
834,738
830,742
836,747
846,741
858,764
863,776
865,774
867,783
868,789
849,793
841,781
842,784
835,805
815,818
809,820
809,819
815,776
831,739
850,723
866,739
898,763
907,786
890,806
885,826
897,826
904,826
904,826
886,823
864,808
837,802
832,796
827,790
831,778
847,776
856,776
864,772
856,781
847,800
856,782
875,763
857,760
828,764
816,763
844,763
875,754
906,768
910,800
909,776
903,780
902,792
874,772
854,762
845,775
853,795
852,817
843,832
843,824
861,800
856,764
837,751
818,757
811,758
