timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-17T14:18:12.275,15,506,774,501,790,-5,16,43.63,114
2025-10-17T14:18:18.683,14,1398,417,1426,415,28,-2,43.49,115
2025-10-17T14:18:25.093,5,729,596,713,580,-16,-16,47.08,115
2025-10-17T14:18:31.497,3,1621,238,1602,272,-19,34,60.91,116
2025-10-17T14:18:37.912,4,283,596,259,656,-24,60,58.84,116
2025-10-17T14:18:44.325,10,1175,953,1146,943,-29,-10,54.87,110
2025-10-17T14:18:50.738,1,729,238,693,252,-36,14,41.35,118
2025-10-17T14:18:57.156,12,506,417,478,425,-28,8,50.67,113
2025-10-17T14:19:03.559,7,1621,596,1635,655,14,59,37.84,111
2025-10-17T14:19:09.997,6,1175,596,1146,586,-29,-10,53.69,114
2025-10-17T14:19:16.406,2,1175,238,1124,246,-51,8,39.77,110
2025-10-17T14:19:22.829,0,283,238,249,257,-34,19,46.68,112
2025-10-17T14:19:29.235,16,952,774,909,752,-43,-22,51.73,113
2025-10-17T14:19:35.655,17,1398,774,1390,783,-8,9,39.91,112
2025-10-17T14:19:42.058,9,729,953,692,984,-37,31,70.25,114
2025-10-17T14:19:48.465,11,1621,953,1579,1012,-42,59,33.8,113
2025-10-17T14:19:54.871,13,952,417,919,431,-33,14,46.78,115
2025-10-17T14:20:01.268,8,283,953,295,984,12,31,68.88,116
