timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-17T14:16:37.418,1,729,238,665,237,-64,-1,34.94,116
2025-10-17T14:16:43.834,9,729,953,665,914,-64,-39,41.63,116
2025-10-17T14:16:50.251,8,283,953,263,938,-20,-15,40.85,110
2025-10-17T14:16:56.654,5,729,596,692,609,-36,12,53.04,108
2025-10-17T14:17:03.065,3,1621,238,1560,262,-60,22,33.69,109
2025-10-17T14:17:09.469,2,1175,238,1141,261,-34,21,48.96,107
2025-10-17T14:17:15.871,11,1621,953,1613,899,-7,-54,34.02,110
2025-10-17T14:17:22.286,7,1621,596,1553,596,-67,0,45.97,115
2025-10-17T14:17:28.710,4,283,596,247,582,-35,-13,45.95,116
2025-10-17T14:17:35.129,10,1175,953,1149,897,-26,-56,36.43,116
2025-10-17T14:17:41.525,6,1175,596,1124,598,-50,1,48.31,115
2025-10-17T14:17:47.928,0,283,238,254,285,-28,46,39.89,114
