timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,dx,dy,spread,n_samples
2025-10-17T15:02:51.867,2,803,194,789,195,-14,1,35.76,117
2025-10-17T15:02:58.269,35,654,864,624,852,-30,-12,41.71,119
2025-10-17T15:03:04.675,0,208,194,216,214,8,20,29.45,119
2025-10-17T15:03:11.069,7,506,462,492,446,-14,-16,37.0,119
2025-10-17T15:03:17.471,14,803,730,773,723,-30,-7,35.66,120
2025-10-17T15:03:23.878,21,1100,998,1078,965,-22,-33,29.18,113
2025-10-17T15:03:30.277,31,952,596,948,610,-4,14,35.98,119
2025-10-17T15:03:36.680,28,1546,328,1493,356,-53,28,60.8,118
2025-10-17T15:03:43.076,17,1695,730,1623,735,-72,5,68.09,119
2025-10-17T15:03:49.480,11,1695,462,1596,454,-99,-8,77.84,117
2025-10-17T15:03:55.875,24,357,328,349,325,-8,-3,39.07,118
2025-10-17T15:04:02.271,4,1398,194,1368,212,-30,18,46.46,119
2025-10-17T15:04:08.677,9,1100,462,1084,489,-16,27,35.27,119
2025-10-17T15:04:15.083,37,1249,864,1203,857,-46,-7,34.95,118
2025-10-17T15:04:21.482,23,1695,998,1656,983,-39,-15,31.71,119
2025-10-17T15:04:27.896,34,357,864,346,858,-11,-6,46.35,120
2025-10-17T15:04:34.295,27,1249,328,1212,355,-37,27,55.04,120
2025-10-17T15:04:40.695,6,208,462,195,499,-13,37,40.93,120
2025-10-17T15:04:47.098,3,1100,194,1072,198,-28,4,38.93,119
2025-10-17T15:04:53.495,18,208,998,225,977,17,-21,35.32,120
2025-10-17T15:04:59.917,20,803,998,768,1013,-35,15,43.34,117
2025-10-17T15:05:06.321,22,1398,998,1388,1044,-10,46,42.17,119
2025-10-17T15:05:12.716,19,506,998,494,1016,-12,18,44.56,119
2025-10-17T15:05:19.126,1,506,194,493,195,-13,1,35.51,119
2025-10-17T15:05:25.525,12,208,730,178,733,-30,3,47.38,119
2025-10-17T15:05:31.925,30,654,596,617,580,-37,-16,34.25,119
2025-10-17T15:05:38.337,10,1398,462,1347,486,-51,24,43.84,119
2025-10-17T15:05:44.744,33,1546,596,1469,605,-77,9,64.85,116
2025-10-17T15:05:51.154,8,803,462,745,472,-58,10,43.38,119
2025-10-17T15:05:57.558,38,1546,864,1493,865,-53,1,23.76,115
2025-10-17T15:06:03.989,26,952,328,912,349,-40,21,41.34,118
2025-10-17T15:06:10.392,15,1100,730,1083,715,-17,-15,39.31,119
2025-10-17T15:06:16.786,29,357,596,318,588,-39,-8,43.72,120
2025-10-17T15:06:23.187,13,506,730,467,706,-39,-24,33.41,119
2025-10-17T15:06:29.593,36,952,864,907,863,-45,-1,42.93,115
2025-10-17T15:06:36.000,5,1695,194,1648,205,-47,11,44.65,119
2025-10-17T15:06:42.401,32,1249,596,1218,590,-31,-6,45.12,119
2025-10-17T15:06:48.801,16,1398,730,1343,739,-55,9,48.44,117
2025-10-17T15:06:55.206,25,654,328,603,320,-51,-8,36.89,120
