timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,dx,dy,spread,n_samples
2025-10-17T14:57:03.801,32,1249,596,1206,642,-43,46,39.83,116
2025-10-17T14:57:10.210,22,1398,998,1339,981,-59,-17,28.18,113
2025-10-17T14:57:16.607,15,1100,730,1058,765,-42,35,46.69,114
2025-10-17T14:57:23.016,8,803,462,795,419,-8,-43,32.9,112
2025-10-17T14:57:29.418,4,1398,194,1372,228,-26,34,34.04,113
2025-10-17T14:57:35.816,11,1695,462,1667,486,-28,24,42.25,112
2025-10-17T14:57:42.221,33,1546,596,1476,562,-70,-34,79.2,105
2025-10-17T14:57:48.630,7,506,462,486,469,-20,7,43.54,114
2025-10-17T14:57:55.046,2,803,194,789,203,-14,9,33.07,111
2025-10-17T14:58:01.461,10,1398,462,1371,447,-27,-15,48.26,114
2025-10-17T14:58:07.880,29,357,596,368,569,11,-27,51.69,116
2025-10-17T14:58:14.274,28,1546,328,1520,360,-26,32,53.68,114
2025-10-17T14:58:20.670,0,208,194,175,214,-33,20,52.72,116
2025-10-17T14:58:27.086,24,357,328,354,306,-3,-22,33.93,114
2025-10-17T14:58:33.509,5,1695,194,1652,239,-43,45,42.26,115
2025-10-17T14:58:39.926,31,952,596,950,561,-2,-35,41.05,114
2025-10-17T14:58:46.326,30,654,596,630,546,-24,-50,58.48,115
2025-10-17T14:58:52.742,25,654,328,627,315,-27,-13,29.12,111
2025-10-17T14:58:59.144,3,1100,194,1068,183,-32,-11,39.6,114
2025-10-17T14:59:05.545,12,208,730,157,729,-51,-1,52.11,114
2025-10-17T14:59:11.955,27,1249,328,1224,322,-25,-6,50.08,113
2025-10-17T14:59:18.357,23,1695,998,1713,892,18,-106,48.76,115
2025-10-17T14:59:24.781,1,506,194,488,167,-18,-27,39.6,111
2025-10-17T14:59:31.184,26,952,328,911,306,-41,-22,38.84,116
2025-10-17T14:59:37.587,6,208,462,202,448,-6,-14,36.36,115
2025-10-17T14:59:43.997,36,952,864,920,835,-32,-29,41.93,118
2025-10-17T14:59:50.399,35,654,864,618,887,-36,23,28.5,117
2025-10-17T14:59:56.802,18,208,998,186,965,-22,-33,44.58,114
2025-10-17T15:00:03.219,13,506,730,502,722,-4,-8,41.03,116
2025-10-17T15:00:09.625,37,1249,864,1224,869,-25,5,30.25,117
2025-10-17T15:00:16.045,34,357,864,366,903,9,39,32.47,117
2025-10-17T15:00:22.471,17,1695,730,1645,736,-50,6,45.34,112
2025-10-17T15:00:28.865,38,1546,864,1518,842,-28,-22,32.16,115
2025-10-17T15:00:35.262,16,1398,730,1314,735,-84,5,30.7,117
2025-10-17T15:00:41.671,14,803,730,760,721,-43,-9,39.64,116
2025-10-17T15:00:48.081,19,506,998,518,998,12,0,31.96,115
2025-10-17T15:00:54.484,9,1100,462,1088,471,-12,9,32.58,108
2025-10-17T15:01:00.887,21,1100,998,1111,1017,11,19,37.23,110
2025-10-17T15:01:07.296,20,803,998,788,990,-15,-8,40.93,115
