x,y
228,713
234,709
242,702
269,690
272,703
242,709
227,700
219,712
220,737
205,741
194,738
184,742
160,757
141,770
159,762
156,748
184,739
189,746
146,739
113,719
112,682
125,646
151,658
164,662
158,670
145,693
143,697
148,690
160,696
161,693
168,677
146,685
143,672
154,683
169,698
196,699
196,719
158,726
144,711
125,710
123,713
135,716
161,709
162,729
151,731
141,723
146,701
152,679
153,697
161,729
176,731
192,747
201,783
198,793
183,784
176,761
156,742
162,752
143,777
130,791
123,785
135,794
164,797
198,790
221,783
253,761
230,742
219,741
238,751
254,760
238,773
222,796
222,787
214,769
193,753
162,748
149,748
160,757
177,747
183,740
193,750
198,768
191,788
185,783
138,773
95,748
105,736
124,766
145,809
157,818
169,784
162,754
131,733
102,735
116,734
148,752
166,774
163,793
153,785
144,775
140,772
144,759
154,739
169,728
173,734
170,751
172,751
165,735
171,731
186,725
216,729
234,737
224,742
231,732
