timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,dx,dy,spread,n_samples
2025-10-17T14:53:50.187,9,1100,462,1092,507,-8,44,31.7,115
2025-10-17T14:53:56.605,14,803,730,804,741,0,11,38.67,116
2025-10-17T14:54:03.015,5,1695,194,1698,256,2,62,25.72,115
2025-10-17T14:54:09.423,12,208,730,223,735,14,5,39.94,116
2025-10-17T14:54:15.826,2,803,194,781,248,-21,54,34.1,117
2025-10-17T14:54:22.235,8,803,462,799,496,-4,33,32.34,113
2025-10-17T14:54:28.645,3,1100,194,1092,241,-8,46,44.21,117
2025-10-17T14:54:35.049,7,506,462,495,497,-10,34,42.15,117
2025-10-17T14:54:41.458,10,1398,462,1389,503,-8,41,42.24,115
2025-10-17T14:54:47.868,20,803,998,806,984,2,-13,29.66,116
2025-10-17T14:54:54.263,0,208,194,181,234,-28,39,27.5,114
2025-10-17T14:55:00.680,11,1695,462,1701,473,5,10,44.73,117
2025-10-17T14:55:07.076,17,1695,730,1710,756,14,26,32.75,116
2025-10-17T14:55:13.479,15,1100,730,1111,712,9,-17,21.03,116
2025-10-17T14:55:19.889,19,506,998,488,946,-18,-52,37.41,116
2025-10-17T14:55:26.314,4,1398,194,1367,243,-30,48,75.57,104
2025-10-17T14:55:32.716,16,1398,730,1415,718,16,-12,31.98,116
2025-10-17T14:55:39.107,22,1398,998,1426,997,27,0,29.36,117
2025-10-17T14:55:45.528,6,208,462,181,504,-27,41,34.85,114
2025-10-17T14:55:51.942,1,506,194,492,249,-13,55,42.28,114
2025-10-17T14:55:58.348,21,1100,998,1080,968,-20,-29,36.06,116
2025-10-17T14:56:04.760,23,1695,998,1671,1021,-24,23,32.39,117
2025-10-17T14:56:11.168,18,208,998,225,992,16,-6,39.31,117
2025-10-17T14:56:17.570,13,506,730,484,734,-22,3,45.14,116
