x,y
1751,142
1764,141
1770,127
1765,123
1759,128
1759,123
1757,112
1750,107
1740,105
1732,97
1728,108
1736,110
1748,105
1762,102
1769,94
1765,93
1764,94
1762,94
1769,101
1764,110
1756,114
1752,106
1745,105
1749,109
1753,116
1767,118
1764,123
1777,121
1742,132
1758,127
1752,125
1750,121
1745,118
1745,117
1744,120
1746,123
1747,127
1751,132
1755,138
1765,141
1765,132
1760,129
1746,133
1743,133
1740,131
1748,123
1749,116
1748,115
1745,110
1743,108
1747,103
1751,98
1751,107
1742,109
1748,107
1748,110
1749,109
1759,109
1765,108
1771,111
1775,113
1765,115
1756,114
1744,121
1757,127
1757,135
1765,135
1782,127
1786,123
1786,123
1783,120
1790,117
1802,121
1805,127
1799,128
1787,121
1778,118
1773,121
1770,129
1786,126
1789,123
1811,117
1806,121
1812,135
1811,136
1796,141
1785,153
1786,152
1783,143
1778,131
1770,126
1764,125
1767,122
1767,115
1773,110
1763,112
1773,112
1784,115
1783,110
1771,108
1774,114
1779,121
1776,122
1758,120
1758,118
1768,115
1784,129
1781,138
1769,142
1765,137
1763,139
1762,142
1763,143
1771,142
