x,y
1764367010.3136647,740,578
1764367010.3583448,740,578
1764367010.3988223,741,581
1764367010.4237444,746,587
1764367010.4534163,764,509
1764367010.4845197,767,469
1764367010.5236278,787,460
1764367010.5596104,3390,5034
1764367010.5892768,3209,4369
1764367010.6241236,3432,4640
1764367010.654192,2802,4215
1764367010.6891334,3182,4157
1764367010.7192907,3349,4726
1764367010.7537978,3201,4783
1764367010.779194,867,-13
1764367010.8137982,3313,5364
1764367010.838692,852,14
1764367010.8686948,852,20
1764367010.898804,852,22
1764367010.934609,848,25
1764367010.9799154,844,27
1764367011.0134678,844,36
1764367011.048286,3540,5229
1764367011.0784047,1438,523
1764367011.1038558,4086,6464
1764367011.139211,1391,379
1764367011.1685176,1394,411
1764367011.198438,1399,425
1764367011.2337446,1547,510
1764367011.2842684,1557,518
1764367011.3236685,1566,526
1764367011.352791,1574,546
1764367011.3888242,1579,573
1764367011.4293096,1587,646
1764367011.4688623,1570,648
1764367011.5037506,1568,648
1764367011.5536323,1575,654
1764367011.5882878,1570,660
1764367011.614631,1551,663
1764367011.6490653,1579,766
1764367011.6812105,1561,794
1764367011.7091038,1553,802
1764367011.7385187,1552,805
1764367011.7734501,1555,807
1764367011.8037527,1554,810
1764367011.84428,1552,808
1764367011.8739183,1549,806
1764367011.9037497,1556,802
1764367011.9534945,1551,806
1764367011.988281,1552,806
1764367012.0138319,1558,807
1764367012.043787,1557,809
1764367012.0742345,1563,810
1764367012.108852,1563,808
1764367012.1403794,1561,809
1764367012.183666,1558,808
1764367012.223607,1556,809
1764367012.2440107,1555,814
1764367012.2739913,1525,822
