x,y
1764370843.4197319,1835,934
1764370843.4488642,1881,935
1764370843.484001,1845,940
1764370843.5190327,1807,1000
1764370843.5444942,1811,1005
1764370843.579388,1810,1009
1764370843.608921,1810,1012
1764370843.6487668,1805,1011
1764370843.6797016,1870,964
1764370843.7093089,1803,1005
1764370843.7438295,1807,1002
1764370843.7738712,1806,1002
1764370843.803677,1891,937
1764370843.8387628,1803,1009
1764370843.8740883,1761,903
1764370843.9091003,1767,906
1764370843.9388669,1692,978
1764370843.9748695,1735,913
1764370844.0095704,1741,917
1764370844.0387578,1747,922
1764370844.0786078,1749,926
1764370844.1136107,1696,983
1764370844.1441295,1759,933
1764370844.1745148,1760,935
1764370844.2148898,1763,936
1764370844.2536619,1689,977
1764370844.2954493,1731,941
1764370844.3243718,1747,948
1764370844.3592308,1738,909
1764370844.3889272,1745,914
1764370844.423805,1697,975
1764370844.4586453,1751,921
1764370844.4937437,1756,926
1764370844.529472,1721,932
1764370844.5644522,1727,936
1764370844.5992906,1730,938
1764370844.6345677,1739,909
1764370844.6741402,1748,986
1764370844.7086027,1706,1021
1764370844.7439961,1753,956
1764370844.7790246,1756,959
1764370844.814424,1700,1016
1764370844.8492978,1766,965
1764370844.8847673,1772,967
1764370844.9140258,1737,972
1764370844.9493406,1743,975
1764370844.9794934,1704,1015
1764370845.0094447,1723,1059
1764370845.0443356,1702,1012
1764370845.079152,1736,1066
1764370845.1144302,1706,1007
1764370845.1495728,1705,1005
1764370845.1847155,1774,961
1764370845.223754,1706,1005
1764370845.2537577,1789,936
1764370845.2841957,1745,936
1764370845.3189313,1725,1057
1764370845.358481,1754,980
1764370845.3936691,1752,943
1764370845.4339352,1758,947
1764370845.463679,1767,950
1764370845.4985325,1774,953
1764370845.5291686,1780,956
1764370845.558644,1743,961
1764370845.593534,1742,926
1764370845.6239166,1750,931
1764370845.6539216,1754,934
1764370845.6943488,1757,937
1764370845.7236037,1764,944
1764370845.7543442,1774,950
1764370845.789051,1719,1017
1764370845.8191457,1740,957
1764370845.8552496,1741,958
1764370845.8842192,1745,961
1764370845.919198,1752,965
1764370845.9535534,1759,967
1764370845.9837973,1758,931
1764370846.0188363,1765,935
1764370846.0492542,1776,976
1764370846.0836997,1743,981
1764370846.119482,1750,985
1764370846.1540332,1754,987
1764370846.1835287,1760,991
1764370846.21966,1764,995
1764370846.25369,1765,962
1764370846.283859,1770,968
1764370846.3184388,1779,974
1764370846.3541415,1786,978
1764370846.3841662,1751,983
1764370846.4245546,1751,985
1764370846.4588277,1760,990
1764370846.493835,1697,1033
1764370846.5294836,1769,995
1764370846.5589192,1765,953
1764370846.5949724,1707,1039
1764370846.6286657,1712,1043
1764370846.659273,1720,1045
1764370846.693475,1667,932
1764370846.7243626,1674,935
1764370846.7537868,1695,1053
1764370846.7883835,1685,941
1764370846.823752,1692,946
1764370846.8544288,1711,1029
1764370846.8893347,1718,1034
1764370846.9235811,1720,1039
1764370846.9638028,1669,926
1764370846.9934998,1689,1047
1764370847.0233817,1697,1049
1764370847.0586352,1647,939
1764370847.0943227,1668,1057
1764370847.1286404,1696,909
1764370847.1633506,1696,1043
1764370847.1938915,1688,1066
1764370847.2287953,1628,876
1764370847.258834,1725,991
1764370847.2943685,1699,1036
1764370847.3241897,1648,889
1764370847.3653793,1747,1006
1764370847.3939729,1661,900
