timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-15T19:38:14.247,10,1175,953,1170,921,-4,-32,30.85,117
2025-10-15T19:38:20.661,3,1621,238,1593,342,-27,103,41.4,120
2025-10-15T19:38:27.059,5,729,596,717,560,-11,-35,48.99,119
2025-10-15T19:38:33.470,6,1175,596,1154,596,-20,0,49.54,118
2025-10-15T19:38:39.872,7,1621,596,1604,615,-16,19,61.45,120
2025-10-15T19:38:46.275,1,729,238,670,267,-58,29,55.0,120
2025-10-15T19:38:52.690,2,1175,238,1163,305,-11,66,41.48,118
2025-10-15T19:38:59.089,8,283,953,239,843,-43,-109,58.83,119
2025-10-15T19:39:05.495,0,283,238,291,252,8,13,36.96,119
2025-10-15T19:39:11.920,4,283,596,284,597,1,1,56.4,119
2025-10-15T19:39:18.318,9,729,953,691,828,-37,-124,63.73,117
2025-10-15T19:39:24.715,11,1621,953,1612,927,-8,-25,42.87,120
