x,y
1184,303
1192,299
1193,303
1200,306
1211,315
1206,317
1206,307
1196,308
1203,310
1207,305
1210,300
1190,300
1146,306
1151,302
1156,288
1156,296
1150,316
1148,325
1147,363
1143,366
1125,337
1122,308
1111,282
1111,273
1127,298
1139,316
1133,320
1157,309
1200,298
1214,291
1215,292
1216,306
1204,321
1212,325
1212,330
1202,338
1230,330
1208,335
1194,304
1134,270
1093,280
1111,283
1130,278
1119,274
1125,271
1122,276
1104,283
1122,276
1131,275
1144,265
1164,267
1183,264
1172,256
1150,248
1131,256
1143,273
1159,274
1152,274
1149,266
1150,268
1125,279
1109,279
1089,297
1101,288
1129,281
1152,261
1149,259
1146,285
1137,313
1124,317
1119,309
1119,311
1118,314
1134,326
1134,322
1126,334
1126,334
1140,326
1148,335
1145,321
1179,318
1196,316
1200,313
1187,312
1178,318
1194,313
1191,314
1185,317
1198,317
1208,321
1200,326
1186,311
1181,319
1161,332
1169,318
1194,312
1209,325
1176,324
1165,319
1153,326
1148,324
1146,317
1151,308
1161,294
1169,289
1157,302
1151,322
1156,312
1169,308
1176,319
1184,330
1202,336
1212,334
1210,330
1202,331
1218,336
1220,330
1164,329
