timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T20:22:49.930,18,208,998,115,1048,-93,50,52.48,119
2025-10-16T20:22:56.361,9,1100,462,1059,491,-41,29,37.99,119
2025-10-16T20:23:02.757,4,1398,194,1381,210,-17,16,44.36,119
2025-10-16T20:23:09.161,16,1398,730,1379,746,-19,16,29.86,119
2025-10-16T20:23:15.586,6,208,462,198,471,-10,9,34.97,120
2025-10-16T20:23:22.003,5,1695,194,1684,129,-11,-65,36.07,117
2025-10-16T20:23:28.415,21,1100,998,1117,938,17,-60,24.34,119
2025-10-16T20:23:34.836,8,803,462,781,459,-22,-3,43.1,119
2025-10-16T20:23:41.270,3,1100,194,1105,215,5,21,37.84,119
2025-10-16T20:23:47.695,17,1695,730,1627,704,-68,-26,43.94,120
2025-10-16T20:23:54.094,15,1100,730,1079,675,-21,-55,47.22,120
2025-10-16T20:24:00.504,11,1695,462,1686,455,-9,-7,35.9,119
2025-10-16T20:24:06.936,10,1398,462,1435,478,37,16,26.15,118
2025-10-16T20:24:13.351,14,803,730,810,738,7,8,48.85,119
2025-10-16T20:24:19.783,23,1695,998,1686,969,-9,-29,29.14,120
2025-10-16T20:24:26.205,20,803,998,789,1047,-14,49,29.98,119
2025-10-16T20:24:32.604,12,208,730,210,759,2,29,42.15,116
2025-10-16T20:24:39.010,13,506,730,532,722,26,-8,45.8,119
2025-10-16T20:24:45.425,1,506,194,510,176,4,-18,32.12,117
2025-10-16T20:24:51.838,0,208,194,215,197,7,3,49.17,120
2025-10-16T20:24:58.272,7,506,462,462,507,-44,45,42.76,119
2025-10-16T20:25:04.677,19,506,998,534,1044,28,46,56.54,119
2025-10-16T20:25:11.097,2,803,194,820,130,17,-64,36.83,120
2025-10-16T20:25:17.506,22,1398,998,1357,944,-41,-54,28.93,112
