x,y
576,141
576,133
558,123
531,121
532,131
534,119
556,121
566,127
576,131
575,126
572,129
572,132
578,131
586,127
578,143
571,147
571,154
553,149
545,177
480,138
512,89
534,174
529,172
530,151
554,136
567,151
568,158
562,166
558,172
559,170
568,164
573,155
556,150
548,151
547,141
547,137
521,148
523,148
529,154
540,139
546,127
555,128
559,136
558,157
557,156
557,150
550,133
548,136
548,141
534,164
529,160
522,153
516,152
522,148
533,155
541,161
542,168
543,168
542,153
539,141
535,131
534,129
531,131
528,123
525,122
518,120
498,125
487,135
500,149
514,161
546,154
566,157
559,150
543,130
536,130
544,129
552,147
562,157
571,158
556,156
518,160
521,164
525,158
536,154
554,153
561,154
553,155
560,157
556,148
542,140
543,145
541,149
548,148
545,146
541,150
533,150
528,150
519,154
521,150
518,151
519,156
517,157
507,162
507,168
498,161
500,150
513,128
515,110
483,95
487,107
476,112
468,121
489,141
480,160
475,177
484,196
503,210
