timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T20:19:32.049,17,1695,730,1692,741,-2,11,29.06,116
2025-10-16T20:19:38.460,5,1695,194,1687,303,-8,109,34.87,117
2025-10-16T20:19:44.861,15,1100,730,1092,714,-8,-16,22.33,118
2025-10-16T20:19:51.267,21,1100,998,1098,939,-2,-59,19.3,118
2025-10-16T20:19:57.669,20,803,998,787,857,-16,-141,44.9,112
2025-10-16T20:20:04.080,11,1695,462,1667,483,-28,20,36.97,120
2025-10-16T20:20:10.487,14,803,730,799,642,-4,-88,49.91,121
2025-10-16T20:20:16.886,6,208,462,215,421,6,-41,45.55,117
2025-10-16T20:20:23.318,2,803,194,831,200,27,5,29.55,120
2025-10-16T20:20:29.747,16,1398,730,1373,688,-25,-42,42.88,120
2025-10-16T20:20:36.155,0,208,194,184,122,-24,-72,36.34,116
2025-10-16T20:20:42.562,12,208,730,216,662,7,-67,39.92,114
2025-10-16T20:20:48.980,9,1100,462,1111,457,10,-5,34.21,113
2025-10-16T20:20:55.384,1,506,194,534,160,28,-34,43.1,119
2025-10-16T20:21:01.782,7,506,462,539,379,33,-82,40.37,119
2025-10-16T20:21:08.192,4,1398,194,1414,221,15,27,36.13,118
2025-10-16T20:21:14.598,19,506,998,489,879,-17,-119,58.99,117
2025-10-16T20:21:20.990,13,506,730,497,649,-8,-81,45.54,117
2025-10-16T20:21:27.393,22,1398,998,1377,947,-20,-50,27.59,119
2025-10-16T20:21:33.804,8,803,462,834,408,30,-53,58.88,120
2025-10-16T20:21:40.210,23,1695,998,1624,983,-71,-15,37.0,119
2025-10-16T20:21:46.619,3,1100,194,1135,175,34,-18,35.71,119
2025-10-16T20:21:53.023,18,208,998,218,922,9,-76,64.22,119
2025-10-16T20:21:59.425,10,1398,462,1371,466,-26,3,29.23,119
