x,y
505,737
498,732
513,758
512,772
493,765
482,772
463,769
468,762
493,751
517,734
549,723
580,713
562,690
539,687
538,704
542,742
541,763
538,780
540,806
533,800
523,781
524,754
531,743
543,728
553,724
564,732
551,738
536,710
525,698
543,676
536,649
516,658
532,681
549,700
565,705
572,716
542,736
519,733
529,728
525,740
515,749
523,738
517,728
516,718
529,701
512,695
478,714
479,724
501,709
540,689
553,691
538,692
528,698
530,710
544,731
497,713
435,680
435,685
430,692
430,696
432,694
449,699
446,698
446,698
444,695
439,692
439,690
438,693
435,691
439,694
455,701
460,701
488,707
485,691
455,702
441,725
464,730
471,739
490,728
517,722
537,729
539,738
533,741
523,751
500,764
492,767
498,744
502,717
509,715
499,716
492,720
493,709
491,703
517,721
530,755
505,768
497,753
522,761
536,760
521,730
