timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-17T12:03:41.697,13,952,417,953,430,1,13,55.49,120
2025-10-17T12:03:48.109,1,729,238,719,257,-10,19,38.39,120
2025-10-17T12:03:54.523,9,729,953,708,906,-21,-47,45.12,118
2025-10-17T12:04:00.933,12,506,417,508,440,2,23,44.88,119
2025-10-17T12:04:07.341,2,1175,238,1187,285,12,47,54.52,120
2025-10-17T12:04:13.754,11,1621,953,1626,987,5,34,45.5,119
2025-10-17T12:04:20.167,10,1175,953,1186,940,11,-13,66.36,114
2025-10-17T12:04:26.575,7,1621,596,1560,609,-61,13,41.42,118
2025-10-17T12:04:32.979,17,1398,774,1407,782,9,8,49.45,120
2025-10-17T12:04:39.374,4,283,596,274,579,-9,-17,60.72,117
2025-10-17T12:04:45.770,0,283,238,289,218,6,-20,50.26,119
2025-10-17T12:04:52.194,16,952,774,948,713,-4,-61,61.83,119
2025-10-17T12:04:58.613,14,1398,417,1373,390,-25,-27,47.12,119
2025-10-17T12:05:05.033,5,729,596,720,569,-9,-27,59.14,119
2025-10-17T12:05:11.456,3,1621,238,1631,265,10,27,36.58,119
2025-10-17T12:05:17.882,6,1175,596,1192,563,17,-33,48.3,119
2025-10-17T12:05:24.301,15,506,774,530,685,24,-89,57.66,119
2025-10-17T12:05:30.712,8,283,953,279,923,-4,-30,54.2,117
