x,y
301,868
303,871
304,864
299,854
292,862
282,885
291,889
321,912
339,930
325,928
310,938
322,920
334,907
366,889
372,905
374,912
319,902
292,884
293,874
299,862
336,841
381,829
403,802
407,798
402,794
403,781
349,829
335,889
359,925
358,935
327,912
304,894
315,875
308,881
319,882
314,871
296,870
288,866
281,842
295,830
324,825
332,820
322,821
327,834
330,831
332,816
320,800
292,793
274,794
309,798
348,815
345,813
328,800
314,791
312,792
305,790
309,791
309,793
319,820
346,856
333,843
298,794
297,778
303,792
319,835
342,861
323,876
306,848
289,814
301,821
293,829
310,831
338,832
305,987
264,914
264,792
263,858
262,870
274,837
280,818
283,801
266,796
270,815
270,828
280,805
285,778
303,776
303,786
297,805
306,789
314,787
304,780
292,777
315,775
348,778
339,813
323,892
325,916
322,909
321,902
302,883
293,854
291,830
286,828
294,841
296,857
295,853
288,844
290,844
296,852
305,859
295,865
296,862
289,864
280,865
275,852
295,826
