x,y
649,928
654,925
657,921
655,924
656,930
657,933
660,928
659,965
661,964
661,959
662,962
645,966
646,969
646,969
626,977
634,980
634,976
634,973
629,971
633,968
633,968
631,970
615,965
633,974
634,968
637,967
640,968
638,971
638,977
643,968
640,967
621,978
628,976
627,977
634,969
633,971
635,991
634,990
634,988
621,1002
623,998
627,998
627,1001
612,1013
616,1021
620,1018
621,1014
624,1007
623,1006
621,1009
614,994
619,995
618,993
618,994
625,1000
626,1003
623,999
617,1002
624,1000
625,996
624,996
625,997
630,1002
609,1016
627,998
627,996
626,995
626,993
629,989
631,984
601,996
616,978
619,977
620,976
617,970
622,967
626,968
627,968
627,970
608,951
611,945
614,943
622,954
622,958
621,955
619,950
620,944
623,941
632,942
632,948
632,945
630,944
636,961
633,959
635,955
635,957
635,954
634,961
629,958
625,960
629,970
632,969
639,972
642,974
