timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-11-24T19:49:35.202,8,163,1060,202.55,951.375,,,,,39,-108,,,,,34.32,120
2025-11-24T19:49:41.595,17,1478,828,1351.9411764705883,825.4285714285714,,,,,-126,-2,,,,,45.68,119
2025-11-24T19:49:47.987,12,426,364,399.218487394958,413.5546218487395,,,,,-26,49,,,,,20.46,119
2025-11-24T19:49:54.389,14,1478,364,1373.2100840336134,499.546218487395,,,,,-104,135,,,,,52.22,119
2025-11-24T19:50:00.782,6,1215,596,1070.6517857142858,716.8035714285714,,,,,-144,120,,,,,48.46,112
2025-11-24T19:50:07.186,3,1741,132,1619.8290598290598,134.42735042735043,,,,,-121,2,,,,,42.49,117
2025-11-24T19:50:13.582,13,952,364,776.8712871287129,484.2970297029703,,,,,-175,120,,,,,36.78,101
2025-11-24T19:50:19.973,15,426,828,418.4,816.825,,,,,-7,-11,,,,,27.42,120
2025-11-24T19:50:26.376,1,689,132,545.4661016949152,274.5,,,,,-143,142,,,,,22.46,118
2025-11-24T19:50:32.780,5,689,596,610.2100840336135,624.8067226890756,,,,,-78,28,,,,,29.72,119
2025-11-24T19:50:39.181,16,952,828,814.2416666666667,818.825,,,,,-137,-9,,,,,37.04,120
2025-11-24T19:50:45.577,0,163,132,179.99166666666667,267.19166666666666,,,,,16,135,,,,,35.73,120
2025-11-24T19:50:51.971,2,1215,132,1039.59375,282.09375,,,,,-175,150,,,,,21.79,32
2025-11-24T19:50:58.361,9,689,1060,612.3193277310925,1020.5966386554621,,,,,-76,-39,,,,,47.42,119
2025-11-24T19:51:04.751,11,1741,1060,1554.034188034188,1019.8803418803419,,,,,-186,-40,,,,,41.49,117
2025-11-24T19:51:11.151,10,1215,1060,1039.65,1016.1916666666667,,,,,-175,-43,,,,,43.43,120
2025-11-24T19:51:17.547,4,163,596,221.54166666666666,614.75,,,,,58,18,,,,,26.64,120
2025-11-24T19:51:23.950,7,1741,596,1597.2434782608696,610.7565217391304,,,,,-143,14,,,,,86.45,115
