x,y
1764475347.1862218,197,1050
1764475347.221254,192,1043
1764475347.2528503,198,1040
1764475347.296865,207,1032
1764475347.3370972,233,1050
1764475347.3767138,632,1044
1764475347.411709,758,1036
1764475347.4418175,569,452
1764475347.4714382,690,259
1764475347.5015197,669,382
1764475347.5314286,635,371
1764475347.5615985,629,399
1764475347.5919583,646,410
1764475347.62194,663,407
1764475347.6528454,672,399
1764475347.686251,665,395
1764475347.7165499,643,388
1764475347.7515547,419,293
1764475347.786955,261,266
1764475347.827271,338,167
1764475347.8564014,347,167
1764475347.8942213,338,202
1764475347.9314685,319,201
1764475347.9716363,188,136
1764475347.9914935,186,104
1764475348.0267649,168,128
1764475348.057087,173,131
1764475348.0868585,176,121
1764475348.1171713,191,125
1764475348.1466959,198,123
1764475348.1763551,192,138
1764475348.216859,178,132
1764475348.2671528,163,127
1764475348.3169537,173,126
1764475348.3516035,177,131
1764475348.3862813,170,132
1764475348.4310665,175,127
1764475348.4621692,176,140
1764475348.5018213,165,158
1764475348.5312173,148,151
1764475348.561269,149,156
1764475348.6069558,145,154
1764475348.6465898,146,150
1764475348.6717603,147,152
1764475348.6970158,156,156
1764475348.746062,156,171
1764475348.787517,148,178
1764475348.8061938,149,172
1764475348.8366652,146,174
1764475348.8660645,147,171
1764475348.901656,145,167
1764475348.931538,141,166
1764475348.9623852,130,166
1764475348.9910958,123,169
1764475349.0318599,125,172
1764475349.0764728,126,160
1764475349.106474,141,167
1764475349.147691,141,165
