x,y
1764476260.5782006,1178,1005
1764476260.618053,1178,998
1764476260.6531377,1172,997
1764476260.6782696,1194,990
1764476260.7079191,1205,1002
1764476260.7391891,1185,998
1764476260.768607,1164,1003
1764476260.7980642,1152,987
1764476260.833644,1154,987
1764476260.8636858,1155,998
1764476260.8989108,1158,1001
1764476260.9286475,1159,1003
1764476260.9687085,1157,998
1764476260.998414,1163,989
1764476261.0289314,1168,989
1764476261.0696445,1175,1003
1764476261.0980923,1168,1007
1764476261.128447,1166,1007
1764476261.1685178,1173,1003
1764476261.19874,1200,992
1764476261.2337615,1206,982
1764476261.2689197,1195,975
1764476261.2982194,1190,966
1764476261.3387945,1189,969
1764476261.3684115,1189,960
1764476261.3989782,1199,976
1764476261.43333,1202,1001
1764476261.4680622,1205,1000
1764476261.4983535,1201,977
1764476261.533803,1186,962
1764476261.568253,1176,970
1764476261.6085396,1182,985
1764476261.6430743,1202,988
1764476261.6788528,1202,957
1764476261.7184,1215,954
1764476261.748398,1197,939
1764476261.7781563,1196,944
1764476261.8134487,1200,961
1764476261.8437045,1187,975
1764476261.8741534,1177,978
1764476261.903181,1182,980
1764476261.9333744,1203,995
1764476261.9739208,1203,984
1764476262.0036838,1200,973
1764476262.0336316,1200,984
1764476262.0688233,1203,992
1764476262.1034784,1196,1005
1764476262.1428726,1182,1008
1764476262.1686041,1170,995
1764476262.2037563,1165,977
1764476262.2387135,1161,969
1764476262.2687314,1164,982
1764476262.3137245,1164,989
1764476262.3381786,1170,990
1764476262.3794613,1166,1020
1764476262.4081712,1159,1030
1764476262.438543,1145,1034
1764476262.469029,1143,1035
1764476262.5080445,1149,1032
1764476262.5383432,1162,1022
1764476262.5783143,1166,1010
1764476262.608075,1165,992
1764476262.6393309,1158,1005
1764476262.6790435,1148,1007
1764476262.718672,1155,1012
1764476262.7594433,1155,1030
1764476262.7995496,1162,1037
1764476262.8289185,1174,1028
1764476262.868038,1178,1016
1764476262.89327,1181,1007
1764476262.9237926,1177,1011
1764476262.9534001,1179,1019
1764476262.9835868,1179,1031
1764476263.0133598,1183,1041
1764476263.0434544,1184,1032
1764476263.0731397,1182,1016
1764476263.1082723,1179,1007
1764476263.1430523,1180,1009
1764476263.1731918,1185,1021
1764476263.2136095,1185,1026
1764476263.2434752,1193,1003
1764476263.273268,1203,993
1764476263.312865,1209,991
1764476263.3435392,1199,995
1764476263.3785498,1183,994
1764476263.4137378,1168,990
1764476263.4489677,1165,1005
1764476263.4780748,1161,1027
1764476263.512959,1166,1029
1764476263.5435846,1157,1019
1764476263.5782068,1155,1017
1764476263.613106,1155,999
1764476263.6538835,1153,997
1764476263.6836114,1161,997
1764476263.713993,1165,991
1764476263.7480495,1169,983
1764476263.7778778,1170,992
1764476263.8183696,1171,1003
1764476263.8597004,1169,1007
1764476263.8982718,1175,1006
1764476263.934474,1185,989
1764476263.96786,1189,994
1764476263.9930112,1180,1001
1764476264.0231202,1185,1005
1764476264.0629005,1185,992
1764476264.08838,1181,1001
1764476264.1188622,1182,997
1764476264.1531274,1183,1001
1764476264.1832023,1176,982
1764476264.2136018,1166,963
1764476264.2487168,1166,964
1764476264.2878675,1164,984
1764476264.313136,1167,1010
1764476264.3532603,1168,1011
1764476264.378842,1179,1002
1764476264.429354,1189,1015
1764476264.4684162,1196,1024
1764476264.4933193,1187,1052
1764476264.5236151,1179,1051
1764476264.5479183,1182,1038
