timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name
2025-11-07T14:22:56.130,20,689,1060,684.3818181818182,1006.1,683,1053,698,1082,-4,-53,-6,-7,9,22,37.82,110,698.7234731606216,1062.6941378519932,700.7271262035334,1060.0,684.0854292913359,1067.694736953865,Anna
2025-11-07T14:23:02.537,11,1336,321,1314.5363636363636,437.2272727272728,1331,376,1355,362,-21,116,-5,55,19,41,39.55,110,1354.929603725667,351.462817428998,1348.0267133823547,327.71263121722785,1351.2278908267099,320.88892664729826,Anna
2025-11-07T14:23:08.941,19,569,476,514.3703703703703,487.0185185185185,551,470,563,477,-54,11,-18,-6,-6,1,53.94,108,562.0186165035623,474.9188315679571,569.1007818106315,466.38731311579323,566.148324575524,466.8933574274116,Anna
2025-11-07T14:23:15.347,0,163,132,96.89090909090908,125.02727272727272,122,152,174,133,-66,-6,-41,20,11,1,61.28,110,150.03747743190286,145.38377580038033,163.0,132.0,144.74321979556186,155.60859934212917,Anna
2025-11-07T14:23:21.750,4,202,234,111.49090909090908,231.9181818181818,144,250,184,234,-90,-2,-58,16,-18,0,40.06,110,166.64741083858087,251.22568942996958,163.0,132.0,172.34538200021177,254.9717199274059,Anna
2025-11-07T14:23:28.159,7,1215,1060,1218.3,1030.0454545454545,1240,1114,1257,1096,3,-29,25,54,42,36,22.59,110,1261.9876760482225,1086.9794616768306,1259.8925697585232,1060.0,1260.2393435583697,1125.3853709834739,Anna
2025-11-07T14:23:34.565,18,1800,203,1753.8818181818183,298.6909090909091,1756,256,1779,158,-46,95,-44,53,-21,-45,40.98,110,1779.0620100484086,202.35217787155284,1741.0,132.0,1766.7848519618326,209.50082447551694,Anna
2025-11-07T14:23:40.970,1,1741,1060,1727.2454545454543,1037.0272727272727,1802,1031,1802,1061,-13,-22,61,-29,61,1,30.77,110,1793.2150697892212,1039.9657803423277,1741.0,1060.0,1807.2867873149403,1027.2405028279038,Anna
2025-11-07T14:23:47.377,5,163,596,80.11009174311927,587.8899082568807,105,606,132,597,-82,-8,-58,10,-31,1,49.58,109,125.74472027353391,618.4640579485131,163.0,596.0,130.2905094123713,612.0423164828736,Anna
2025-11-07T14:23:53.783,17,1046,679,1003.5855855855856,692.3423423423424,1036,680,1046,679,-42,13,-10,1,0,0,60.89,111,1043.6429364878743,681.3512840502269,1050.3852613610059,670.6935096883391,1049.6712015853407,679.1887085226098,Anna
2025-11-07T14:24:00.188,16,924,834,888.5229357798165,820.0,910,834,924,839,-35,-14,-14,0,0,5,47.83,109,917.1954274701495,842.7685392971238,916.3249410494547,839.5560908015934,911.3303925698652,852.6965359280301,Anna
2025-11-07T14:24:06.598,3,386,572,298.6756756756757,599.5585585585585,324,599,345,606,-87,27,-62,27,-41,34,105.28,111,340.5667292657951,612.9612618236581,339.6098398698504,609.7647651124541,342.5428668980005,604.3930901218222,Anna
2025-11-07T14:24:12.999,13,689,132,621.5446428571429,165.04464285714286,661,155,672,142,-67,33,-28,23,-17,10,50.81,112,684.5036425844863,125.64817349664916,694.9429524495403,142.61017211862617,693.1432782166595,137.61497590624953,Anna
2025-11-07T14:24:19.407,15,363,581,283.6422018348624,578.6146788990826,312,577,332,583,-79,-2,-51,-4,-31,2,59.51,109,327.66915590205247,591.4747544182991,329.76052982302735,586.9859748969388,332.1302381378934,582.7133984428057,Anna
2025-11-07T14:24:25.807,2,1399,894,1370.0,911.9908256880734,1424,948,1421,924,-29,17,25,54,22,30,26.44,109,1420.782126477311,933.7918242152789,1422.6552311811615,961.7010099841037,1425.127378036735,959.6871324025618,Anna
2025-11-07T14:24:32.214,9,952,364,873.3603603603603,418.8378378378378,905,391,918,382,-78,54,-47,27,-34,18,47.28,111,924.6452127317001,365.66810887214376,927.6323843069854,365.62410243530223,932.8124846249475,353.5605130653205,Anna
2025-11-07T14:24:38.621,8,1322,465,1289.990990990991,609.027027027027,1322,573,1336,557,-32,144,0,108,14,92,42.31,111,1334.1636884085406,560.8920622221424,1333.2496337303362,542.7762536849043,1338.0225829764038,545.3442600636373,Anna
2025-11-07T14:24:45.028,6,163,1060,35.25688073394495,1073.788990825688,61,1111,23,1158,-127,13,-102,51,-140,98,88.25,109,65.3153588064084,1143.5123675030954,163.0,1060.0,74.7531958239121,1125.0396306127195,Anna
