model,mean_error,variance
similarity,59.72056578097133,2006.856666984531
poly,58.85484902599392,2495.4592574735434
"rbf[thin_plate,s=1.0]",59.815916048975545,1976.2549797711033
"rbf[multiquadric,s=0.0]",66.41237501412365,1958.559349396456
"rbf[multiquadric,s=1.0]",87.16295021391569,3211.740245096926
"rbf[multiquadric,s=2.0]",138.78540337336776,9303.989273232552
tps,55.858817627745914,1882.0057909828197
pwa,70.49803537758831,7520.260266421555
gpr,58.276620029886864,1522.5579870924823
"sim+rbf[thin_plate,s=1.0]",56.49547217420569,1913.7888499952724
"sim+rbf[multiquadric,s=0.0]",56.980660507796905,1920.8591816940864
"sim+rbf[multiquadric,s=1.0]",52.2694910696554,1540.9081855115255
"sim+rbf[multiquadric,s=2.0]",52.545985718065594,1546.1336651048266
sim+tps,55.85881763332852,1882.0057913063088
sim+pwa,70.49803537758831,7520.260266421556
sim+gpr,54.84425320384723,1767.5378709779786
