model,mean_error,variance
similarity,57.93189426450876,1854.3726162403182
poly,53.94767796179513,1992.2394736871559
"rbf[thin_plate,s=1.0]",53.93863811648619,1860.74066221317
"rbf[multiquadric,s=0.0]",58.23526773985684,1993.5021131827982
"rbf[multiquadric,s=1.0]",75.90479622582178,2321.9764861722692
"rbf[multiquadric,s=2.0]",112.78662968661524,5537.169778615223
tps,53.48935608074239,1799.5868443011095
pwa,53.52926862947746,2510.9662521682167
gpr,53.46558739571248,1352.0668518181162
"sim+rbf[thin_plate,s=1.0]",53.691841303775234,1844.98645701303
"sim+rbf[multiquadric,s=0.0]",54.73179262390595,2030.6349517339045
"sim+rbf[multiquadric,s=1.0]",49.92777662915025,1400.5339520152809
"sim+rbf[multiquadric,s=2.0]",50.37681265164319,1422.912716249444
sim+tps,53.48935608945776,1799.586846994685
sim+pwa,53.52926862947746,2510.9662521682167
sim+gpr,52.26708093439427,1495.0814756547927
