subject,model,mean_error,variance
subject_001,similarity,87.41015935127083,2939.4814908685767
subject_001,poly,104.42927817181088,6243.980932114332
subject_001,"rbf[thin_plate,s=1.0]",686.3990782772738,224969.09627127877
subject_001,"rbf[multiquadric,s=0.0]",114.33767403978408,5408.383071726811
subject_001,"rbf[multiquadric,s=1.0]",239.15449081758123,32265.83013836257
subject_001,"rbf[multiquadric,s=2.0]",350.10619632238195,77997.78397268751
subject_001,tps,86.51854908482247,3058.3917178826346
subject_001,pwa,190.2194463209908,28141.29273770745
subject_001,gpr,109.03715325884346,25184.929815328236
subject_001,"sim+rbf[thin_plate,s=1.0]",190.21482252214807,9960.577263946749
subject_001,"sim+rbf[multiquadric,s=0.0]",88.44985307515348,3220.0057414760768
subject_001,"sim+rbf[multiquadric,s=1.0]",79.65541049649575,2629.0936816670364
subject_001,"sim+rbf[multiquadric,s=2.0]",80.41316752135579,2682.91640917156
subject_001,sim+tps,86.51854908878573,3058.391718361227
subject_001,sim+pwa,190.2194463209908,28141.29273770745
subject_001,sim+gpr,84.30763785131207,3122.2587750999433
subject_002,similarity,85.98675305054564,2809.3932534110704
subject_002,poly,94.7160744867696,3862.1717730028618
subject_002,"rbf[thin_plate,s=1.0]",177.78586827563197,14229.917720344363
subject_002,"rbf[multiquadric,s=0.0]",100.70020746720454,3589.687371332369
subject_002,"rbf[multiquadric,s=1.0]",191.0612583963837,20798.813957749077
subject_002,"rbf[multiquadric,s=2.0]",298.41946459092065,49581.57724892647
subject_002,tps,85.91756813876292,2310.9349439988086
subject_002,pwa,167.24290048703784,22398.779388165687
subject_002,gpr,147.289400489048,31901.834652912818
subject_002,"sim+rbf[thin_plate,s=1.0]",103.50291497576646,4382.648735869521
subject_002,"sim+rbf[multiquadric,s=0.0]",86.67012523744144,2397.795949109589
subject_002,"sim+rbf[multiquadric,s=1.0]",78.77333672604823,1917.7299881789036
subject_002,"sim+rbf[multiquadric,s=2.0]",79.07861545567927,2053.7218376557657
subject_002,sim+tps,85.91756814542639,2310.9349447250975
subject_002,sim+pwa,167.24290048703782,22398.779388165676
subject_002,sim+gpr,81.70975873599299,2336.9900644196764
subject_003,similarity,133.63397434420546,9743.952632904771
subject_003,poly,156.7456779383418,8479.52575103781
subject_003,"rbf[thin_plate,s=1.0]",158.7467820112886,8310.693007960648
subject_003,"rbf[multiquadric,s=0.0]",120.9196542742068,6164.430404166333
subject_003,"rbf[multiquadric,s=1.0]",216.8447744277176,23317.57132805646
subject_003,"rbf[multiquadric,s=2.0]",324.27312756185705,47746.60341108772
subject_003,tps,108.70263788103688,5929.420072001347
subject_003,pwa,183.5506181116747,20485.30613530089
subject_003,gpr,142.04658031626343,10603.956687497355
subject_003,"sim+rbf[thin_plate,s=1.0]",128.6527570927744,6386.498539802902
subject_003,"sim+rbf[multiquadric,s=0.0]",112.10168666595077,5593.325246096439
subject_003,"sim+rbf[multiquadric,s=1.0]",97.18205894606328,6831.293850544583
subject_003,"sim+rbf[multiquadric,s=2.0]",102.1732588482477,7229.10758932366
subject_003,sim+tps,108.70263790274372,5929.420072504644
subject_003,sim+pwa,183.5506181116747,20485.30613530089
subject_003,sim+gpr,109.79451023106094,7520.907137568325
subject_004,similarity,124.36491011508336,4068.121824701102
subject_004,poly,164.24141500967124,15463.199574344811
subject_004,"rbf[thin_plate,s=1.0]",33952.023376651705,1455495839.1206417
subject_004,"rbf[multiquadric,s=0.0]",141.16537017657825,5461.279449866369
subject_004,"rbf[multiquadric,s=1.0]",209.09550058230028,17562.580945813545
