model,mean_error,variance
similarity,57.86168960023963,1914.311099464192
poly,54.364338581482095,1882.8140003710637
"rbf[thin_plate,s=1.0]",55.27653943419135,2242.5715682241816
"rbf[multiquadric,s=0.0]",56.744270712659706,2695.132672319816
"rbf[multiquadric,s=1.0]",83.50541104894286,2686.472935106007
"rbf[multiquadric,s=2.0]",119.53371371867485,6313.192939254862
tps,54.865458852664794,2066.995271396052
pwa,66.51045984549124,5932.24150540228
gpr,51.82987761159349,1384.351903898466
"sim+rbf[thin_plate,s=1.0]",55.1199917334211,2188.737478299298
"sim+rbf[multiquadric,s=0.0]",57.024176239628346,2948.1907280312853
"sim+rbf[multiquadric,s=1.0]",49.967669949182046,1439.2168377996763
"sim+rbf[multiquadric,s=2.0]",50.35699216998186,1448.6953700731272
sim+tps,54.86545888507584,2066.9952903169924
sim+pwa,66.51045984549124,5932.24150540228
sim+gpr,52.52461319634817,1602.2824760413769
