subject,model,mean_error,variance
subject_001,similarity,92.75318236051892,3057.66683350888
subject_001,poly,89.42081492589908,2788.698613470924
subject_001,"rbf[thin_plate,s=1.0]",172.72100938618917,19501.189739119884
subject_001,"rbf[multiquadric,s=0.0]",183.7492508370445,22467.722653948804
subject_001,"rbf[multiquadric,s=1.0]",326.1558347333077,66360.40980774848
subject_001,"rbf[multiquadric,s=2.0]",430.5293462193314,125141.76100593484
subject_001,tps,90.61096179720914,3285.9497981341196
subject_001,pwa,178.0160171789823,16192.010504405014
subject_001,gpr,148.7038073681049,16091.636922028843
subject_001,"sim+rbf[thin_plate,s=1.0]",96.58764184221135,4582.051174327262
subject_001,"sim+rbf[multiquadric,s=0.0]",92.11363384151132,3286.979816297551
subject_001,"sim+rbf[multiquadric,s=1.0]",88.31991573378981,3115.583759595206
subject_001,"sim+rbf[multiquadric,s=2.0]",88.12149786189265,3076.797759314771
subject_001,sim+tps,90.61096179976457,3285.949798246106
subject_001,sim+pwa,178.0160171789823,16192.010504405012
subject_001,sim+gpr,92.98121607051108,3079.9917156495426
subject_002,similarity,84.14872104321111,2933.09073270626
subject_002,poly,146.95212275521976,16241.945700652992
subject_002,"rbf[thin_plate,s=1.0]",123.88434670632412,9800.705760751667
subject_002,"rbf[multiquadric,s=0.0]",155.54301483593528,17304.72811807558
subject_002,"rbf[multiquadric,s=1.0]",279.70789359212955,50148.1183041028
subject_002,"rbf[multiquadric,s=2.0]",390.2937120881132,85478.55408144904
subject_002,tps,91.98480219606252,3930.923499618272
subject_002,pwa,185.2925151180031,17445.53832244585
subject_002,gpr,237.4321899983278,22030.243020773447
subject_002,"sim+rbf[thin_plate,s=1.0]",100.749732035394,6689.412847462706
subject_002,"sim+rbf[multiquadric,s=0.0]",89.1161581921148,3782.668482312499
subject_002,"sim+rbf[multiquadric,s=1.0]",82.40126492316912,2750.577814657247
subject_002,"sim+rbf[multiquadric,s=2.0]",81.68089472781742,2691.2103087610276
subject_002,sim+tps,91.98480220453878,3930.923501411688
subject_002,sim+pwa,185.2925151180031,17445.53832244585
subject_002,sim+gpr,84.1852483967541,3028.878366238192
subject_003,similarity,150.2360853093481,14567.357809850791
subject_003,poly,162.1986501343707,24879.947083909105
subject_003,"rbf[thin_plate,s=1.0]",209.88218983012817,62172.79326386134
subject_003,"rbf[multiquadric,s=0.0]",175.90819167678,32266.608473255088
subject_003,"rbf[multiquadric,s=1.0]",300.2310820692355,64803.498604807755
subject_003,"rbf[multiquadric,s=2.0]",408.00474708126535,105165.8627438145
subject_003,tps,157.80871580207145,30250.666423780967
subject_003,pwa,174.77406677613374,16211.44397100988
subject_003,gpr,299.66752578951855,18701.963694529917
subject_003,"sim+rbf[thin_plate,s=1.0]",184.65952134847828,55835.171837619
subject_003,"sim+rbf[multiquadric,s=0.0]",133.4634388349407,17612.304424138318
subject_003,"sim+rbf[multiquadric,s=1.0]",122.8366447042927,13289.097921574028
subject_003,"sim+rbf[multiquadric,s=2.0]",129.08494585913795,13340.995528731346
subject_003,sim+tps,157.8087159489047,30250.66649825841
subject_003,sim+pwa,174.7740667761337,16211.443971009883
subject_003,sim+gpr,148.03304920879435,13348.391249121638
subject_004,similarity,144.95605425901917,8850.645668094674
subject_004,poly,374.96637432696514,213306.33439167045
subject_004,"rbf[thin_plate,s=1.0]",201.6153745134561,14654.508361733777
subject_004,"rbf[multiquadric,s=0.0]",184.8197760622812,15261.821544027189
subject_004,"rbf[multiquadric,s=1.0]",329.79022951183003,45078.63810071972
subject_004,"rbf[multiquadric,s=2.0]",473.8597237460244,83008.6618662184
subject_004,tps,150.87009416285798,12028.320699194082
subject_004,pwa,200.94723056998356,13942.412286590532
subject_004,gpr,203.5963628302476,16806.365912946345
subject_004,"sim+rbf[thin_plate,s=1.0]",157.5158259773643,15639.981792036711
subject_004,"sim+rbf[multiquadric,s=0.0]",148.6188455217681,11243.008318107431
subject_004,"sim+rbf[multiquadric,s=1.0]",144.36295474973238,9764.390637115508
subject_004,"sim+rbf[multiquadric,s=2.0]",144.34236561837966,9423.888659099175
subject_004,sim+tps,150.87009419048997,12028.320705974853
subject_004,sim+pwa,200.94723056998356,13942.412286590532
subject_004,sim+gpr,144.9560543546257,8850.645662117886
subject_005,similarity,54.30376170296322,1465.8378158666046
subject_005,poly,74.0460128208809,4198.6939537220915
subject_005,"rbf[thin_plate,s=1.0]",102.29020997859494,12088.314708317455
subject_005,"rbf[multiquadric,s=0.0]",110.5374439697074,12031.49160163281
subject_005,"rbf[multiquadric,s=1.0]",228.2278892243721,42857.47197489097
subject_005,"rbf[multiquadric,s=2.0]",328.4640848623328,76478.1407199242
subject_005,tps,51.36310653414193,1498.6920665802909
subject_005,pwa,160.07952305048804,15727.060966440322
subject_005,gpr,234.15474205083913,22542.058677506713
subject_005,"sim+rbf[thin_plate,s=1.0]",56.59627214001715,2357.089230014913
subject_005,"sim+rbf[multiquadric,s=0.0]",51.161461920956775,1426.2659073726884
subject_005,"sim+rbf[multiquadric,s=1.0]",49.18686521649494,1268.836588213363
subject_005,"sim+rbf[multiquadric,s=2.0]",50.057429707239315,1289.3985081746246
subject_005,sim+tps,51.36310653764021,1498.692066890854
subject_005,sim+pwa,160.07952305048804,15727.060966440322
subject_005,sim+gpr,53.321125051493574,1435.3589992705568
subject_006,similarity,50.41958263853962,598.4596384070692
subject_006,poly,68.73816422458079,2754.2343595100892
subject_006,"rbf[thin_plate,s=1.0]",117.9763507333605,11142.052293018196
subject_006,"rbf[multiquadric,s=0.0]",128.26385793491653,18882.539440144083
subject_006,"rbf[multiquadric,s=1.0]",268.4804490461775,53468.4643388174
subject_006,"rbf[multiquadric,s=2.0]",374.2367907310478,95130.46918221466
subject_006,tps,38.19758726322058,443.94276499596936
subject_006,pwa,197.83847230040473,21441.212918883804
subject_006,gpr,244.26404711798943,25326.101766251704
subject_006,"sim+rbf[thin_plate,s=1.0]",42.62151925071027,627.4091003084598
subject_006,"sim+rbf[multiquadric,s=0.0]",39.52163908162595,498.2855055080026
subject_006,"sim+rbf[multiquadric,s=1.0]",41.1678040516157,375.5520409821718
subject_006,"sim+rbf[multiquadric,s=2.0]",42.83356008198423,418.5067181094382
subject_006,sim+tps,38.19758726260056,443.942764929209
subject_006,sim+pwa,197.8384723004048,21441.2129188838
subject_006,sim+gpr,48.03570865664235,674.0725860372464
subject_007,similarity,92.97754697022044,4423.541147260802
subject_007,poly,100.61982879407672,4251.797353519529
subject_007,"rbf[thin_plate,s=1.0]",115.47405781773617,7388.418296412838
subject_007,"rbf[multiquadric,s=0.0]",121.93411588609248,15088.267894559704
subject_007,"rbf[multiquadric,s=1.0]",236.5716378679628,48909.343945640416
subject_007,"rbf[multiquadric,s=2.0]",333.27456190422674,88379.60316106577
subject_007,tps,80.52408580316968,2674.696369788724
subject_007,pwa,173.23890873676902,15894.91772843504
subject_007,gpr,233.3941013829524,20196.39083817431
subject_007,"sim+rbf[thin_plate,s=1.0]",85.64594016638603,2528.175221226202
subject_007,"sim+rbf[multiquadric,s=0.0]",80.63488252717447,2782.708317208182
subject_007,"sim+rbf[multiquadric,s=1.0]",81.7412836684814,3317.015180824728
subject_007,"sim+rbf[multiquadric,s=2.0]",84.13118052275571,3601.9802423547612
subject_007,sim+tps,80.52408580457006,2674.696369390874
subject_007,sim+pwa,173.23890873676902,15894.91772843504
subject_007,sim+gpr,92.62240868948736,4464.078185760979
subject_008,similarity,54.4998339275708,1433.8383990346883
subject_008,poly,93.2236054773648,7449.358673054826
subject_008,"rbf[thin_plate,s=1.0]",101.02725005742673,8184.175113889509
subject_008,"rbf[multiquadric,s=0.0]",111.9825991770734,10448.934707546505
subject_008,"rbf[multiquadric,s=1.0]",224.6273904922821,35823.13807895377
subject_008,"rbf[multiquadric,s=2.0]",326.87004570326474,64770.80974587198
subject_008,tps,60.80164944843423,1914.037624904656
subject_008,pwa,162.49671476474046,16016.786243477012
subject_008,gpr,216.1002244382439,22921.5853561605
subject_008,"sim+rbf[thin_plate,s=1.0]",66.42086393987789,2515.3775646981912
subject_008,"sim+rbf[multiquadric,s=0.0]",60.21916933426072,1839.556561364393
subject_008,"sim+rbf[multiquadric,s=1.0]",53.95561492724987,1473.2807448278425
subject_008,"sim+rbf[multiquadric,s=2.0]",53.45509073440674,1425.9282900454464
subject_008,sim+tps,60.80164944961045,1914.037625015045
subject_008,sim+pwa,162.49671476474046,16016.786243477012
subject_008,sim+gpr,54.32563308418683,1457.1160083711588
subject_009,similarity,121.08194962020218,3753.760618537032
subject_009,poly,136.85641954576442,6300.307219000422
subject_009,"rbf[thin_plate,s=1.0]",179.55136470773337,18474.041218954266
subject_009,"rbf[multiquadric,s=0.0]",149.15790285925775,10043.52599902683
subject_009,"rbf[multiquadric,s=1.0]",281.1845151196879,34721.38299883574
subject_009,"rbf[multiquadric,s=2.0]",392.1650326787416,64666.83767750176
subject_009,tps,110.93274768170475,3540.6794637919047
subject_009,pwa,202.9419925812008,14174.21433413929
subject_009,gpr,264.2124473742765,18583.014484773583
subject_009,"sim+rbf[thin_plate,s=1.0]",121.18659020459243,4877.680116129238
subject_009,"sim+rbf[multiquadric,s=0.0]",110.79357776135348,3399.206165588022
subject_009,"sim+rbf[multiquadric,s=1.0]",109.45089962562096,3696.235419766732
subject_009,"sim+rbf[multiquadric,s=2.0]",111.82389770773682,3712.232668607575
subject_009,sim+tps,110.9327477123856,3540.679463903691
subject_009,sim+pwa,202.9419925812008,14174.214334139284
subject_009,sim+gpr,121.53038264511255,3900.157595710387
subject_010,similarity,98.39025105960276,1903.5226950388776
subject_010,poly,152.3512449626989,12962.478646361906
subject_010,"rbf[thin_plate,s=1.0]",90.79562678034544,1758.2546986726386
subject_010,"rbf[multiquadric,s=0.0]",158.07761011217815,13175.267328403295
subject_010,"rbf[multiquadric,s=1.0]",253.3022944825645,47840.952052973735
subject_010,"rbf[multiquadric,s=2.0]",357.4110828306445,86499.1075214516
