subject,model,mean_error,variance
subject_001,similarity,89.0414025739352,2711.2566377113153
subject_001,poly,81.2782411550774,2436.24891868311
subject_001,"rbf[thin_plate,s=1.0]",88.35121879980802,2525.558359042611
subject_001,"rbf[multiquadric,s=0.0]",86.90415027324217,2205.361716596742
subject_001,"rbf[multiquadric,s=1.0]",112.2823927637213,4467.074027636644
subject_001,"rbf[multiquadric,s=2.0]",159.1075292540127,9839.048839413925
subject_001,tps,88.08398490718348,2420.7185274477933
subject_001,pwa,95.01471606013052,6449.112761559891
subject_001,gpr,73.99200581256918,2524.6391644768396
subject_001,"sim+rbf[thin_plate,s=1.0]",88.05898491235938,2437.95224505683
subject_001,"sim+rbf[multiquadric,s=0.0]",89.51785131823917,2438.1453902810404
subject_001,"sim+rbf[multiquadric,s=1.0]",80.11398331054943,2687.893610041891
subject_001,"sim+rbf[multiquadric,s=2.0]",79.2957904422742,2714.1492630770144
subject_001,sim+tps,88.08398490895826,2420.7185275175393
subject_001,sim+pwa,95.01471606013048,6449.112761559889
subject_001,sim+gpr,83.66677706807246,2522.3170128453453
subject_002,similarity,80.1871166010918,2322.855916498428
subject_002,poly,82.54298264755487,2163.0724240462764
subject_002,"rbf[thin_plate,s=1.0]",83.94470885445563,2388.0880322290504
subject_002,"rbf[multiquadric,s=0.0]",81.15199756268471,2459.957682375372
subject_002,"rbf[multiquadric,s=1.0]",91.05567369450448,2705.300015128541
subject_002,"rbf[multiquadric,s=2.0]",128.23012678574858,7222.910623937906
subject_002,tps,82.83216340619128,2414.2790203158115
subject_002,pwa,97.70061376042314,8511.767566812357
subject_002,gpr,76.50279137735,1784.6914308186424
subject_002,"sim+rbf[thin_plate,s=1.0]",82.83106729899673,2376.0856598782043
subject_002,"sim+rbf[multiquadric,s=0.0]",83.90957877266024,2514.890882939256
subject_002,"sim+rbf[multiquadric,s=1.0]",73.6608706658467,1418.2942170410076
subject_002,"sim+rbf[multiquadric,s=2.0]",72.31592810924252,1354.395164818407
subject_002,sim+tps,82.83216341960839,2414.2790224228893
subject_002,sim+pwa,97.70061376042312,8511.76756681236
subject_002,sim+gpr,79.08618388596018,2255.3908078867134
subject_003,similarity,141.0435767734932,12482.838027148644
subject_003,poly,133.9456411615704,12521.427908082129
subject_003,"rbf[thin_plate,s=1.0]",152.14291291326057,16590.940186633503
subject_003,"rbf[multiquadric,s=0.0]",139.6647748345264,12567.74282193206
subject_003,"rbf[multiquadric,s=1.0]",136.7026345402179,7525.259250074448
subject_003,"rbf[multiquadric,s=2.0]",175.0946266951931,11844.028316803384
subject_003,tps,147.9543981611711,15339.182195079196
subject_003,pwa,124.44319287392749,10583.940792778376
subject_003,gpr,131.93498499295396,9628.0618558684
subject_003,"sim+rbf[thin_plate,s=1.0]",150.04271213090044,15943.037350792092
subject_003,"sim+rbf[multiquadric,s=0.0]",148.40488311206772,14188.106146484344
subject_003,"sim+rbf[multiquadric,s=1.0]",116.87220142910932,8442.944140807296
subject_003,"sim+rbf[multiquadric,s=2.0]",112.10206496235836,8904.164969147576
subject_003,sim+tps,147.95439831629625,15339.182243219571
subject_003,sim+pwa,124.44319287392756,10583.94079277837
subject_003,sim+gpr,133.34111915500276,9452.856744559433
subject_004,similarity,99.10675161418088,4579.853711509488
subject_004,poly,117.73053178840333,6547.11346681629
subject_004,"rbf[thin_plate,s=1.0]",106.92582478387286,4268.828192034952
subject_004,"rbf[multiquadric,s=0.0]",108.46014143615574,2861.091406797092
subject_004,"rbf[multiquadric,s=1.0]",113.95861052239928,2677.164663397092
subject_004,"rbf[multiquadric,s=2.0]",141.5308056145855,7122.287160535016
subject_004,tps,106.6071604476085,4087.73978047851
subject_004,pwa,86.73937230772582,5000.559831340453
subject_004,gpr,84.7252174179128,1968.86418987079
subject_004,"sim+rbf[thin_plate,s=1.0]",108.90402546849572,4191.148854874792
subject_004,"sim+rbf[multiquadric,s=0.0]",110.57566153273356,4133.18246073748
subject_004,"sim+rbf[multiquadric,s=1.0]",96.70671147565268,4321.541023649494
subject_004,"sim+rbf[multiquadric,s=2.0]",95.58156416422942,4321.316342624144
subject_004,sim+tps,106.60716048075466,4087.739779194092
subject_004,sim+pwa,86.7393723077258,5000.559831340451
subject_004,sim+gpr,92.99761530193145,4512.489796733277
subject_005,similarity,52.78644256636149,1370.0146248247486
subject_005,poly,47.90679144463087,1396.718099679684
subject_005,"rbf[thin_plate,s=1.0]",48.17742959585375,1785.6533790517983
subject_005,"rbf[multiquadric,s=0.0]",50.17341325542048,2602.6974450622433
subject_005,"rbf[multiquadric,s=1.0]",80.67222802147381,2404.829402952087
subject_005,"rbf[multiquadric,s=2.0]",117.4500478053087,6057.835772347105
subject_005,tps,47.80999287838575,1562.55989032473
subject_005,pwa,60.71024705285627,5321.904286553376
subject_005,gpr,46.03213692621406,961.7578134476208
subject_005,"sim+rbf[thin_plate,s=1.0]",48.07310582395694,1717.527569951322
subject_005,"sim+rbf[multiquadric,s=0.0]",50.10300064259577,2884.276047971432
subject_005,"sim+rbf[multiquadric,s=1.0]",44.22015506096785,1000.8198447197636
subject_005,"sim+rbf[multiquadric,s=2.0]",45.010407724287944,1021.5938797023337
subject_005,sim+tps,47.80999292016508,1562.559918100504
subject_005,sim+pwa,60.71024705285627,5321.904286553376
subject_005,sim+gpr,46.683015118381746,1111.0084191820993
subject_006,similarity,59.27365782700978,660.0991888701982
subject_006,poly,38.36706461334879,306.7629258417591
subject_006,"rbf[thin_plate,s=1.0]",42.659248045705034,485.90699666061255
subject_006,"rbf[multiquadric,s=0.0]",45.49414964986145,583.559348540867
subject_006,"rbf[multiquadric,s=1.0]",78.79724612218288,3039.2091177382285
subject_006,"rbf[multiquadric,s=2.0]",126.82391602471311,8093.02165404241
subject_006,tps,42.70562486924408,487.4008661185156
subject_006,pwa,81.53171109604934,14358.182831601727
subject_006,gpr,46.59411989579847,381.8977073751176
subject_006,"sim+rbf[thin_plate,s=1.0]",42.73553379058176,485.3608425399695
subject_006,"sim+rbf[multiquadric,s=0.0]",44.27215894012851,549.8816264243754
subject_006,"sim+rbf[multiquadric,s=1.0]",44.11338715629275,308.93539222876905
subject_006,"sim+rbf[multiquadric,s=2.0]",43.85544697658031,315.05715992994794
subject_006,sim+tps,42.7056248693871,487.4008661620453
subject_006,sim+pwa,81.53171109604935,14358.182831601724
subject_006,sim+gpr,45.06169414942359,425.2425448530647
subject_007,similarity,102.48317856557505,3791.096464172155
