model,mean_error,variance
similarity,59.601922231743366,1968.2977331870259
poly,61.57557410607087,2253.160937611527
"rbf[thin_plate,s=1.0]",58.92942265612634,2178.5985817888336
"rbf[multiquadric,s=0.0]",63.69611682300168,2163.742100932622
"rbf[multiquadric,s=1.0]",117.40139185544467,5118.93477576424
"rbf[multiquadric,s=2.0]",189.77217320745953,14680.671352170117
tps,57.46274527287127,2083.15245542709
pwa,82.70516006908737,10477.68394189349
gpr,65.13986468759866,2552.934030235915
"sim+rbf[thin_plate,s=1.0]",57.732387198771306,2132.6217674346303
"sim+rbf[multiquadric,s=0.0]",59.82438598445626,2227.736197850145
"sim+rbf[multiquadric,s=1.0]",53.88720702798458,1652.528137042112
"sim+rbf[multiquadric,s=2.0]",54.66020058803838,1668.0199277102827
sim+tps,57.462745280580705,2083.1524563234184
sim+pwa,82.70516006908737,10477.68394189349
sim+gpr,57.4481287148196,1885.741104180682
