held,n_test,raw_anchor_l2,baseline_K3_l2_mean,baseline_K3_l2_median,baseline_K3_l2_std,baseline_K3_l2_p95,baseline_K3_n,baseline_K5_l2_mean,baseline_K5_l2_median,baseline_K5_l2_std,baseline_K5_l2_p95,baseline_K5_n,baseline_K8_l2_mean,baseline_K8_l2_median,baseline_K8_l2_std,baseline_K8_l2_p95,baseline_K8_n,baseline_K12_l2_mean,baseline_K12_l2_median,baseline_K12_l2_std,baseline_K12_l2_p95,baseline_K12_n,baseline_K18_l2_mean,baseline_K18_l2_median,baseline_K18_l2_std,baseline_K18_l2_p95,baseline_K18_n,ours_K3_l2_mean,ours_K3_l2_median,ours_K3_l2_std,ours_K3_l2_p95,ours_K3_mae_x,ours_K3_mae_y,ours_K3_rmse_x,ours_K3_rmse_y,ours_K3_n_eval,ours_K3_n_skipped_trials,ours_K5_l2_mean,ours_K5_l2_median,ours_K5_l2_std,ours_K5_l2_p95,ours_K5_mae_x,ours_K5_mae_y,ours_K5_rmse_x,ours_K5_rmse_y,ours_K5_n_eval,ours_K5_n_skipped_trials,ours_K8_l2_mean,ours_K8_l2_median,ours_K8_l2_std,ours_K8_l2_p95,ours_K8_mae_x,ours_K8_mae_y,ours_K8_rmse_x,ours_K8_rmse_y,ours_K8_n_eval,ours_K8_n_skipped_trials,ours_K12_l2_mean,ours_K12_l2_median,ours_K12_l2_std,ours_K12_l2_p95,ours_K12_mae_x,ours_K12_mae_y,ours_K12_rmse_x,ours_K12_rmse_y,ours_K12_n_eval,ours_K12_n_skipped_trials,ours_K18_l2_mean,ours_K18_l2_median,ours_K18_l2_std,ours_K18_l2_p95,ours_K18_mae_x,ours_K18_mae_y,ours_K18_rmse_x,ours_K18_rmse_y,ours_K18_n_eval,ours_K18_n_skipped_trials,best_val_l2,best_epoch
Liu Jiaqi,1713,40.79334025936019,42.85727212536644,37.10391086491057,27.648197802840155,99.48018464986829,1452,38.62013924594495,32.41181819219179,26.791924525242116,91.52190584290436,1278,37.25702964939919,30.862819816493293,26.730029867789078,90.07030021810597,1017,34.70858216206833,28.55990640224593,25.956772626299845,86.01769276573819,677.0,34.79943317946866,28.451783532510575,25.67290734696114,86.10954572759223,415.0,40.251983642578125,33.051734924316406,27.742290496826172,95.26561737060547,25.1629695892334,25.683012008666992,33.802913665771484,35.31599807739258,1452,0,39.924842834472656,32.88895797729492,27.90495491027832,95.5492172241211,24.753835678100586,25.578166961669922,33.48619079589844,35.37449264526367,1278,0,39.47407531738281,32.35054397583008,27.905338287353516,95.59989166259766,24.570247650146484,25.099803924560547,33.195281982421875,35.142337799072266,1017,0,37.522098541259766,30.284032821655273,27.744873046875,93.81488037109375,23.631118774414062,23.429367065429688,32.62703323364258,33.36408996582031,677,43,37.45693588256836,30.228103637695312,27.83222770690918,93.85623931884766,23.603296279907227,23.383344650268555,32.64767074584961,33.34343338012695,667,45,44.442569732666016,60
ZAnna,565,45.90466192143513,49.713270751234,44.33595073868905,30.976274758792126,113.55875953544978,460,50.31546772138724,45.094516781965794,30.613955044738685,106.86363533633835,390,47.65975668717123,41.105849855886795,29.90144806962387,101.74786815197672,287,44.71943840185315,39.63082799772334,28.05745684826222,98.44449509622656,154.0,43.41314334354497,37.41525758052432,25.72885898773135,92.33969523845991,94.0,46.44459533691406,40.991233825683594,29.752151489257812,104.34814453125,29.758962631225586,29.225996017456055,39.21146774291992,38.7911262512207,460,0,46.99231719970703,41.86662673950195,29.339548110961914,105.72419738769531,30.09699058532715,29.699058532714844,39.52212142944336,38.82124710083008,390,0,47.37716293334961,41.254844665527344,29.86514663696289,105.03282928466797,30.295942306518555,30.082698822021484,39.63085174560547,39.57168197631836,287,1,44.935977935791016,38.81245803833008,27.901029586791992,101.3111572265625,30.147350311279297,27.191333770751953,39.11001205444336,35.61062240600586,154,25,44.935977935791016,38.81245803833008,27.901029586791992,101.3111572265625,30.147350311279297,27.191333770751953,39.11001205444336,35.61062240600586,154,25,41.846710205078125,53
Jane,66,73.67908690588393,57.66276687625098,46.373900180397904,37.197156383036386,132.01067745413718,48,54.72041797520708,41.534717845587785,40.20192653296105,131.65761329448273,36,49.642341582084455,36.13816951808022,37.39708632557971,108.6518348393777,18,,,,,,,,,,,70.1567611694336,66.03721618652344,39.13898849487305,138.28268432617188,44.5495719909668,41.574520111083984,59.21473693847656,54.29039001464844,48,0,69.33767700195312,68.40269470214844,39.52634811401367,138.61854553222656,42.32325744628906,42.00968551635742,58.013431549072266,54.8132209777832,36,0,71.18739318847656,71.44603729248047,46.866580963134766,154.06552124023438,38.64886474609375,44.76004409790039,58.58208084106445,61.90524673461914,18,1,,,,,,,,,0,6,,,,,,,,,0,6,41.29945373535156,77
Freddie,13,74.99614778933847,87.3346943654295,86.83995450073516,20.51485494929375,121.22450982253599,9,83.79801195523177,90.56426006154834,24.54085272756365,111.68677802325642,7,86.52720249862224,82.86194016071128,26.193061246530135,118.01537557130634,4,,,,,,,,,,,70.81356811523438,55.224727630615234,34.265316009521484,114.57849884033203,49.04400634765625,38.15815734863281,62.50012969970703,47.774532318115234,9,0,78.36640167236328,97.47457885742188,34.91225814819336,115.29302978515625,53.360599517822266,40.79306411743164,68.35139465332031,51.848297119140625,7,0,69.65198516845703,67.62200927734375,33.789180755615234,107.14756774902344,62.99431610107422,28.709598541259766,69.45654296875,34.189117431640625,4,0,,,,,,,,,0,1,,,,,,,,,0,1,42.335506439208984,65
Joao,17,82.31106673085998,74.97514811907321,76.5541908602281,42.10109892902422,133.5167209150141,11,47.43965469457369,61.06596021191526,27.169371097069693,79.86339388059396,7,32.099006543425205,32.099006543425205,0.0,32.099006543425205,1,,,,,,,,,,,83.88615417480469,46.732994079589844,67.35343170166016,170.728759765625,38.90785217285156,69.72691345214844,52.99166488647461,93.6229476928711,11,0,80.39958190917969,44.64335250854492,64.04630279541016,173.02072143554688,30.574031829833984,70.57068634033203,43.30168151855469,93.22545623779297,7,0,45.68505096435547,45.68505096435547,0.0,45.68505096435547,13.2955322265625,43.70758056640625,13.2955322265625,43.70758056640625,1,1,,,,,,,,,0,2,,,,,,,,,0,2,42.34347915649414,58
Tristan,20,66.76099585661451,81.82222746274559,89.62883567898129,39.156447415981,134.54740583477542,14,65.80674283360393,50.69634694317135,52.91196995972904,155.9946125026435,10,84.11750593623046,84.80762676457891,22.326212500351005,110.47171241618157,4,,,,,,,,,,,71.06983184814453,64.97573852539062,36.409671783447266,135.150634765625,53.51508331298828,41.82330322265625,62.86511993408203,49.239845275878906,14,0,68.908447265625,62.76545715332031,46.678192138671875,154.25906372070312,49.7356071472168,44.91871643066406,62.80213928222656,54.61793518066406,10,0,61.6204833984375,64.75177001953125,13.790862083435059,75.77388000488281,39.714881896972656,46.8515625,40.803592681884766,48.19065475463867,4,1,,,,,,,,,0,2,,,,,,,,,0,2,49.1201057434082,64
Zander,21,58.665385024444916,59.81168654062299,60.591460191549075,25.16644599008676,99.90071851750288,15,62.07920736582462,62.50778411009014,24.111709604458184,99.9022367166364,11,62.704684712898754,69.5551951110949,23.64301071898431,92.70250269051661,5,,,,,,,,,,,53.501441955566406,54.906063079833984,33.54643249511719,105.40693664550781,39.25840377807617,25.551259994506836,53.45283889770508,33.62382125854492,15,0,45.80410385131836,47.54212188720703,23.549720764160156,81.26801300048828,29.693641662597656,26.493860244750977,38.426456451416016,34.29304122924805,11,0,47.464805603027344,60.05036926269531,27.16172218322754,78.7796859741211,37.58647537231445,21.232379913330078,47.372074127197266,27.3231258392334,5,0,,,,,,,,,0,2,,,,,,,,,0,2,49.58734130859375,69
noor,22,81.37202149409057,54.2509636657022,54.20633465982166,35.30306007702719,112.46961052466615,16,55.96095998910621,51.257818351788146,35.5787668381929,120.22336369205556,12,70.8251631255207,48.52770343890718,53.426185991569476,147.70688343397185,6,,,,,,,,,,,78.0004653930664,73.12229919433594,28.064395904541016,123.81094360351562,60.73094940185547,35.72167205810547,65.61785125732422,50.65550231933594,16,0,78.63359832763672,72.92750549316406,31.650644302368164,128.65811157226562,56.02363204956055,43.555084228515625,61.82686233520508,57.986602783203125,12,0,86.59490966796875,80.95443725585938,36.14826583862305,135.80355834960938,48.48189163208008,60.093326568603516,54.52556228637695,76.36975860595703,6,0,,,,,,,,,0,2,,,,,,,,,0,2,49.451698303222656,52
wzx,55,57.161397322774306,58.09357307118459,46.98939288661568,44.587803692281156,147.7671294244302,49,60.38544950799688,46.5405361568193,45.36940758625764,142.97295766749926,45,61.54396296982985,52.83118938389818,45.981522803356896,149.57093179029383,39,65.34495369734051,52.42299280268071,47.62623686853988,167.23304316920212,31.0,66.5251155730221,51.255278030871494,45.49095884578939,163.84919741712542,19.0,59.63083267211914,49.4023551940918,43.96879196166992,151.2703399658203,37.2294921875,39.00289535522461,53.08169937133789,51.68582534790039,49,0,61.64805221557617,56.10002517700195,45.31544876098633,153.19082641601562,39.93320846557617,39.30991744995117,55.258670806884766,52.91929244995117,45,0,60.35591506958008,55.17967224121094,44.789695739746094,156.7240447998047,41.410648345947266,37.56028747558594,57.721954345703125,48.13656997680664,39,0,64.0700912475586,55.22501754760742,46.96817398071289,167.17449951171875,43.88789367675781,40.159149169921875,61.879573822021484,49.81871795654297,31,0,64.0700912475586,55.22501754760742,46.96817398071289,167.17449951171875,43.88789367675781,40.159149169921875,61.879573822021484,49.81871795654297,31,0,40.92839050292969,40
Khushee Goel,11,85.30173825950129,104.68682070642913,100.786495214224,32.395772794902435,156.6053121398584,8,105.44163382360438,93.30788227800285,28.491400783517328,148.69757686554937,6,108.459501550522,115.59815741261131,23.97560386917863,131.79620943173722,3,,,,,,,,,,,83.24156188964844,91.35646057128906,36.3496208190918,124.84104919433594,57.53180694580078,54.46393585205078,63.98368453979492,64.47124481201172,8,0,79.35578155517578,90.08917999267578,35.11500930786133,116.0078125,57.85337829589844,47.65193176269531,65.56744384765625,56.84465408325195,6,0,100.19292449951172,110.45191192626953,19.38172149658203,116.41334533691406,65.931640625,71.28258514404297,68.31678009033203,75.80956268310547,3,0,,,,,,,,,0,1,,,,,,,,,0,1,48.56952667236328,80
TJ,12,33.89469199864349,37.83477919946194,44.25199745912506,12.402000243406487,48.704929344711275,9,40.486024283233135,43.9422599454242,9.1545317547038,50.83782981938024,7,24.366237214465777,22.394951172547028,12.581319561204001,40.24306169040518,4,,,,,,,,,,,34.08716583251953,39.28315353393555,11.326435089111328,44.384578704833984,18.90962028503418,23.74856948852539,24.252283096313477,26.496219635009766,9,0,36.21745300292969,39.368350982666016,9.254766464233398,44.396728515625,18.452959060668945,27.03664779663086,23.14714813232422,29.3524112701416,7,0,31.85723114013672,31.462562561035156,10.158791542053223,43.56820297241211,17.672500610351562,21.53990936279297,23.152008056640625,24.1260986328125,4,0,,,,,,,,,0,1,,,,,,,,,0,1,57.33732986450195,70
navya,11,90.42458718157071,76.36480425879736,74.84312217386486,38.70837918073046,134.57853815501744,8,76.505378446899,93.58621507715601,43.1459427931794,122.34583218880279,6,113.58431776724052,108.18461904036643,7.722575567109253,122.87337830615714,3,,,,,,,,,,,74.68899536132812,76.13655090332031,47.91599655151367,133.36094665527344,63.41900634765625,36.62526321411133,76.16437530517578,45.53434753417969,8,0,96.6473159790039,103.18789672851562,33.79249572753906,133.99774169921875,82.8866195678711,46.45237350463867,87.95012664794922,52.41578674316406,6,0,127.3912582397461,129.99993896484375,7.717931270599365,134.73892211914062,108.24671173095703,63.66987991333008,109.0702896118164,66.27042388916016,3,0,,,,,,,,,0,1,,,,,,,,,0,1,57.42424392700195,67
