held_subject,n_train,n_val,n_test,baseline_l2,best_val_l2,best_epoch,test_mae_x,test_mae_y,test_rmse_x,test_rmse_y,test_l2_mean,test_l2_median,test_l2_std,test_l2_p90,test_l2_p95,test_n,delta_vs_baseline
Freddie,2280,233,13,74.99614778933845,50.87226867675781,8,53.59368133544922,41.03539276123047,66.89497375488281,50.16929244995117,75.22075653076172,70.5365219116211,36.52031326293945,119.63289642333984,131.66860961914062,13,0.2246087414232676
Jane,2229,231,66,73.67908690588393,43.04250717163086,14,47.08525085449219,44.7509880065918,61.3514518737793,57.757015228271484,74.32084655761719,74.26446533203125,39.70247268676758,131.77816772460938,137.7654571533203,66,0.6417596517332527
Joao,2272,237,17,82.31106673085996,48.08625030517578,10,36.767669677734375,69.24552917480469,48.458927154541016,90.6349105834961,82.07422637939453,53.94710922241211,61.86094665527344,172.37738037109375,177.51673889160156,17,-0.2368403514654318
Khushee Goel,2285,230,11,85.30173825950129,40.8288459777832,8,53.660274505615234,57.64253234863281,59.171897888183594,74.45767211914062,83.65505981445312,71.92416381835938,45.24477005004883,131.24195861816406,157.94949340820312,11,-1.6466784450481669
Liu Jiaqi,757,56,1713,40.79334025936019,58.80548858642578,42,25.76693344116211,26.692502975463867,34.319488525390625,36.301841735839844,41.486572265625,34.62675476074219,27.830120086669922,79.3154296875,96.2550048828125,1713,0.6932320062648074
TJ,2285,229,12,33.89469199864349,41.320892333984375,11,16.92821502685547,20.759218215942383,21.393566131591797,26.113866806030273,30.360361099243164,34.2003173828125,14.760321617126465,45.53157424926758,46.43147277832031,12,-3.5343308994003237
Tristan,2264,242,20,66.76099585661451,43.26380157470703,1,47.35887145996094,40.05123519897461,59.104766845703125,47.30306625366211,66.71829986572266,59.579017639160156,35.771812438964844,121.09944915771484,124.34475708007812,20,-0.042695990891857605
ZAnna,1761,200,565,45.90466192143513,47.322242736816406,30,30.415023803710938,30.390615463256836,39.77574920654297,40.01315689086914,47.98792266845703,42.24921798706055,29.67023277282715,87.40338134765625,102.5372085571289,565,2.083260747021903
Zander,2282,223,21,58.6653850244449,39.61076736450195,14,46.82024383544922,25.756237030029297,61.151920318603516,32.67230224609375,58.794456481933594,56.18294906616211,36.7457275390625,97.015869140625,128.96812438964844,21,0.12907145748869198
navya,2292,223,11,90.42458718157071,39.418609619140625,26,67.6960220336914,51.46646499633789,78.6879653930664,59.488651275634766,89.39382934570312,97.28324127197266,41.70658493041992,130.12205505371094,134.9090576171875,11,-1.0307578358675897
noor,2281,223,22,81.37202149409057,40.03366470336914,28,56.39216613769531,41.49076843261719,67.82634735107422,53.7352409362793,79.34407806396484,77.64765930175781,34.53123474121094,116.70481872558594,155.4062042236328,22,-2.027943430125731
wzx,2248,223,55,57.16139732277431,40.23988342285156,23,36.24705123901367,37.661293029785156,50.67966842651367,49.39319610595703,57.676246643066406,47.82125473022461,41.00691223144531,106.02426147460938,158.7982635498047,55,0.5148493202920932
