held,n_test_trials,baseline_anchor_K1,baseline_raw_K1,baseline_fixed_K1_best_lam,baseline_fixed_K1,baseline_anchor_K2,baseline_raw_K2,baseline_fixed_K2_best_lam,baseline_fixed_K2,baseline_anchor_K3,baseline_raw_K3,baseline_fixed_K3_best_lam,baseline_fixed_K3,baseline_anchor_K5,baseline_raw_K5,baseline_fixed_K5_best_lam,baseline_fixed_K5,baseline_anchor_K8,baseline_raw_K8,baseline_fixed_K8_best_lam,baseline_fixed_K8,baseline_anchor_K12,baseline_raw_K12,baseline_fixed_K12_best_lam,baseline_fixed_K12,baseline_anchor_K18,baseline_raw_K18,baseline_fixed_K18_best_lam,baseline_fixed_K18,v1_scalar_K1,v1_scalar_K1_n,v1_scalar_K2,v1_scalar_K2_n,v1_scalar_K3,v1_scalar_K3_n,v1_scalar_K5,v1_scalar_K5_n,v1_scalar_K8,v1_scalar_K8_n,v1_scalar_K12,v1_scalar_K12_n,v1_scalar_K18,v1_scalar_K18_n,v3_spatial_K1,v3_spatial_K2,v3_spatial_K3,v3_spatial_K5,v3_spatial_K8,v3_spatial_K12,v3_spatial_K18
Freddie,1,69.3870620727539,85.37069702148438,0.15000000000000002,68.55760788223509,66.43694305419922,89.48393249511719,0.0,66.43694107812198,66.51043701171875,70.10055541992188,0.25,66.03382684840311,61.14998245239258,85.09434509277344,0.0,61.14997829765023,81.78194427490234,101.5228042602539,0.0,81.78194534479816,,,0.0,inf,,,0.0,inf,68.76709747314453,11,67.76264190673828,10,66.027099609375,9,65.30586242675781,7,91.3228988647461,4,,0,,0,70.1566162109375,68.58534240722656,67.2449722290039,72.61258697509766,96.36980438232422,,
Jane,6,74.5360336303711,66.00350952148438,0.7000000000000001,60.59550597320472,76.62913513183594,65.58473205566406,0.7000000000000001,63.86635708661714,76.28282928466797,55.33692932128906,0.9500000000000001,55.29269956304532,71.70501708984375,49.96564483642578,0.8,48.50468764146544,82.8790283203125,52.219947814941406,1.0,52.21994933947855,,,0.0,inf,,,0.0,inf,63.44880676269531,60,66.8231201171875,54,63.3865852355957,48,56.426631927490234,36,66.62515258789062,18,,0,,0,60.381351470947266,63.20661926269531,57.97444534301758,51.35542297363281,60.62828063964844,,
Joao,2,86.32797241210938,80.11560821533203,0.55,77.53860417515214,84.24835968017578,59.81529998779297,1.0,59.815293599223736,82.68180084228516,58.111934661865234,1.0,58.11193094107795,96.58050537109375,58.643619537353516,1.0,58.6436328126585,29.425636291503906,29.764036178588867,0.5,27.101697841493944,,,0.0,inf,,,0.0,inf,79.2040786743164,15,73.59646606445312,13,69.3960189819336,11,83.12813568115234,7,26.98042106628418,1,,0,,0,80.68570709228516,77.99234008789062,78.16101837158203,73.98040008544922,30.05144500732422,,
Khushee Goel,1,91.40985870361328,100.19129943847656,0.0,91.409858856474,89.48579406738281,105.69290161132812,0.0,89.4857974720517,86.61627960205078,105.57597351074219,0.1,86.50224720458652,99.12889862060547,96.87429809570312,0.75,96.48629100133155,71.7392578125,61.52970504760742,1.0,61.5297040553572,,,0.0,inf,,,0.0,inf,93.24987030029297,10,89.6260757446289,9,85.17384338378906,8,96.74661254882812,6,64.12967681884766,3,,0,,0,92.4265365600586,91.74407196044922,92.41777038574219,101.2519760131836,66.95662689208984,,
Liu Jiaqi,87,40.83121109008789,50.882781982421875,0.2,40.037003135518795,40.69532775878906,46.306087493896484,0.25,39.661886919408126,40.76226806640625,42.674041748046875,0.4,39.076911515541525,40.497962951660156,39.86102294921875,0.55,38.01686363177805,39.92821502685547,37.60989761352539,0.65,36.738405858150024,38.97300720214844,35.778358459472656,0.75,35.3463958072674,38.515995025634766,35.40166091918945,0.75,34.98345258245794,41.8179931640625,1626,40.44770431518555,1539,39.20746612548828,1452,38.01560592651367,1278,36.90723419189453,1017,35.73637390136719,677,35.36051559448242,415,42.34519958496094,41.1886100769043,39.792301177978516,38.452476501464844,37.17466354370117,35.86650848388672,35.85112380981445
TJ,1,32.297367095947266,40.41790008544922,0.4,27.24094682545387,31.089548110961914,40.016971588134766,0.35000000000000003,28.342415929094177,29.134286880493164,45.73489761352539,0.2,27.900903043378204,30.029951095581055,32.715904235839844,0.4,27.526229997574458,32.2059440612793,28.61996841430664,0.75,28.197003880762217,,,0.0,inf,,,0.0,inf,27.366779327392578,11,28.373498916625977,10,30.292959213256836,9,27.815664291381836,7,28.265865325927734,4,,0,,0,26.51197052001953,27.135427474975586,26.82911491394043,24.40085792541504,25.417518615722656,,
Tristan,2,67.9866714477539,89.23533630371094,0.1,67.77710617184691,65.08851623535156,72.46142578125,0.4,62.525735631400295,65.25721740722656,64.06328582763672,0.65,61.905492790051255,68.15330505371094,70.74569702148438,0.25,67.79905025727817,84.29812622070312,73.59951782226562,1.0,73.5995128375561,,,0.0,inf,,,0.0,inf,68.13681030273438,18,62.773353576660156,16,61.918983459472656,14,68.83055114746094,10,77.30821228027344,4,,0,,0,69.39459228515625,64.35839080810547,63.43572998046875,69.5781021118164,77.55181121826172,,
ZAnna,35,46.277469635009766,60.39070510864258,0.05,46.19596632558749,45.685585021972656,54.017696380615234,0.15000000000000002,45.38938993724113,46.20094299316406,50.156410217285156,0.25,45.67396039094665,46.15898513793945,47.6415901184082,0.35000000000000003,45.484982952798305,45.552555084228516,46.50584411621094,0.4,44.80729316863539,43.14605712890625,44.65827941894531,0.30000000000000004,42.71473511625903,43.08234405517578,41.66953659057617,0.9,41.64206430100975,48.05219650268555,530,46.2354850769043,495,46.006046295166016,460,45.734214782714844,390,45.38500213623047,287,43.23843002319336,154,41.831417083740234,94,48.3133544921875,46.239070892333984,45.79171371459961,45.39883804321289,44.89604187011719,42.559791564941406,41.894813537597656
Zander,2,56.6932487487793,94.00505828857422,0.0,56.69325120101602,54.17783737182617,82.0968017578125,0.0,54.17783936694805,51.292606353759766,80.92705535888672,0.0,51.29260570560799,53.83689880371094,68.45285034179688,0.0,53.83689718638361,28.867538452148438,63.339744567871094,0.0,28.867538494369377,,,0.0,inf,,,0.0,inf,61.33711242675781,19,62.471458435058594,17,64.93470764160156,15,62.68830490112305,11,51.8739128112793,5,,0,,0,65.42255401611328,65.46461486816406,62.416038513183594,59.6534538269043,49.48894119262695,,
navya,1,92.44599914550781,82.90013122558594,0.7000000000000001,80.65060542404238,91.346923828125,91.51712036132812,0.45,88.45910847233648,96.02944946289062,87.38982391357422,1.0,87.38982717019118,106.47528076171875,94.7834701538086,1.0,94.78345734531496,93.28266143798828,79.58661651611328,1.0,79.586623360932,,,0.0,inf,,,0.0,inf,85.94874572753906,10,90.52910614013672,9,90.36808776855469,8,98.87065887451172,6,84.05952453613281,3,,0,,0,83.86974334716797,89.91305541992188,91.89461517333984,100.3521728515625,87.21886444091797,,
