held,n_test,base_l2,best_val_l2,best_epoch,test_l2_mean,test_l2_median,test_l2_std,test_l2_p95,test_mae_x,test_mae_y,test_rmse_x,test_rmse_y,test_n,delta
Freddie,13,74.99614778933845,44.45073318481445,29,74.62322235107422,61.73950958251953,38.05109786987305,136.9866180419922,53.651817321777344,40.12689971923828,67.25314331054688,49.93522262573242,13,-0.3729254382642324
Jane,66,73.67908690588393,44.47520065307617,25,73.4317398071289,70.26904296875,40.189334869384766,141.01058959960938,47.14211654663086,43.42524719238281,62.218685150146484,56.002113342285156,66,-0.24734709875502858
Joao,17,82.31106673085996,47.961280822753906,16,80.98594665527344,53.931697845458984,61.76047897338867,177.59619140625,36.126976013183594,67.62738037109375,47.45547866821289,90.11691284179688,17,-1.3251200755865256
Khushee Goel,11,85.30173825950129,49.34865951538086,44,82.80982971191406,67.9580078125,41.860469818115234,150.3502655029297,54.79296875,54.1572151184082,60.661800384521484,70.21333312988281,11,-2.4919085475872294
Liu Jiaqi,1713,40.79334025936019,43.69733810424805,24,40.971153259277344,33.81034851074219,27.647911071777344,95.85960388183594,25.523550033569336,26.33651351928711,34.00151824951172,35.873931884765625,1713,0.17781299991715116
TJ,12,33.89469199864349,52.05088806152344,30,28.95844841003418,29.74347686767578,16.80594825744629,53.99977493286133,13.195218086242676,22.65913963317871,17.461450576782227,28.567977905273438,12,-4.936243588609308
Tristan,20,66.76099585661451,48.37446212768555,30,67.43218994140625,61.008209228515625,35.316062927246094,132.46681213378906,48.29607009887695,40.87273025512695,59.954185485839844,46.902244567871094,20,0.6711940847917361
ZAnna,565,45.90466192143513,45.38621139526367,25,47.271018981933594,41.6565055847168,29.471479415893555,102.74728393554688,30.410308837890625,29.74392318725586,39.365089416503906,39.41455078125,565,1.3663570604984656
Zander,21,58.6653850244449,50.54933166503906,38,58.471012115478516,53.26463317871094,36.929908752441406,123.25680541992188,44.44919967651367,27.980497360229492,60.04961013793945,34.30337142944336,21,-0.19437290896638615
navya,11,90.42458718157071,52.57307052612305,35,91.80146789550781,94.66996002197266,39.716949462890625,148.10800170898438,70.51182556152344,52.94514465332031,81.79715728759766,57.56884002685547,11,1.3768807139370978
noor,22,81.37202149409057,51.038822174072266,28,77.90945434570312,74.82836151123047,33.40378189086914,138.39366149902344,57.00898742675781,39.810115814208984,66.99609375,51.93476486206055,22,-3.46256714838745
wzx,55,57.16139732277431,51.30097198486328,23,56.3759765625,45.627899169921875,43.69865417480469,153.80947875976562,36.09950637817383,36.223995208740234,51.8264274597168,49.00862121582031,55,-0.7854207602743131
