label,arch,anchor,noise_sigma_max,best_val_l2,best_epoch,test_l2_mean,test_l2_median,test_l2_std,test_l2_p95,wall_s
v2_mlp_residual_default,mlp_residual,pred_sim_rbf_multiquadric_s2.0,10.0,43.08143997192383,18,45.11082458496094,37.850379943847656,31.931434631347656,108.23776245117188,7.653016090393066
v2_mlp_residual_no_noise,mlp_residual,pred_sim_rbf_multiquadric_s2.0,0.0,43.13889694213867,20,45.120723724365234,37.40238952636719,31.99233055114746,109.241455078125,5.597660064697266
v2_mlp_residual_strong_noise,mlp_residual,pred_sim_rbf_multiquadric_s2.0,25.0,43.025550842285156,18,45.07626724243164,37.80802917480469,31.8326416015625,108.3470458984375,6.746922016143799
v2_mlp_residual_no_fourier,mlp_residual,pred_sim_rbf_multiquadric_s2.0,10.0,42.391632080078125,268,44.74412536621094,37.28656768798828,31.264917373657227,107.04515838623047,5.718996047973633
v2_mlp_residual_bigger,mlp_residual,pred_sim_rbf_multiquadric_s2.0,10.0,42.87209701538086,12,45.044620513916016,37.13001251220703,31.933385848999023,110.3019027709961,7.818710803985596
v2_mlp_residual_with_resreg,mlp_residual,pred_sim_rbf_multiquadric_s2.0,10.0,43.081668853759766,18,45.11085510253906,37.851463317871094,31.931371688842773,108.23713684082031,6.873989105224609
v2_softmax_blend_default,softmax_blend,pred_sim_rbf_multiquadric_s2.0,10.0,42.10839080810547,8,45.064212799072266,37.10181427001953,32.02505111694336,111.93218231201172,7.173146724700928
v2_softmax_blend_strong_noise,softmax_blend,pred_sim_rbf_multiquadric_s2.0,25.0,41.98684310913086,14,44.70998764038086,36.5765266418457,31.916812896728516,109.41407775878906,7.618733167648315
v2_mlp_residual_anchor_gpr,mlp_residual,pred_gpr,10.0,43.198585510253906,37,45.89643096923828,39.62626647949219,32.17379379272461,111.6167221069336,6.6374592781066895
v2_mlp_residual_anchor_poly,mlp_residual,pred_poly,10.0,45.9537353515625,22,48.07200622558594,36.38072204589844,39.363895416259766,116.44902038574219,6.618794202804565
