label,best_val_l2,best_epoch,test_l2_mean,test_l2_median,test_l2_std,test_l2_p95,wall_s
v2_mlp_residual_default,21.33125877380371,2,21.696929931640625,17.8303165435791,15.75114917755127,51.90757751464844,24.825236082077026
v2_mlp_residual_no_fourier,21.41928482055664,2,21.846303939819336,18.02425193786621,15.593589782714844,52.19060134887695,23.170436143875122
v2_mlp_residual_smaller,21.34819984436035,4,21.99046516418457,18.304452896118164,15.767772674560547,52.18101119995117,26.205358743667603
v2_mlp_residual_no_noise,21.245492935180664,3,21.965566635131836,18.341283798217773,15.753386497497559,52.17566680908203,20.124505758285522
v2_mlp_residual_residual_l2,21.331111907958984,2,21.697099685668945,17.828405380249023,15.751070976257324,51.909297943115234,27.40266513824463
v2_softmax_blend_default,29.468902587890625,1,37.526771545410156,35.479976654052734,18.923540115356445,72.49774932861328,29.170902013778687
v2_softmax_blend_no_fourier,30.16814613342285,1,39.790218353271484,37.117008209228516,20.2232723236084,77.68183898925781,25.023736238479614
v2_softmax_blend_no_noise,29.555055618286133,1,38.13283920288086,35.84621047973633,19.256778717041016,73.28987884521484,22.38740611076355
v2_mlp_residual_anchor_poly,21.660905838012695,4,24.361032485961914,20.079879760742188,17.107858657836914,57.281219482421875,26.201050996780396
v2_mlp_residual_3baselines,21.088993072509766,4,22.65796661376953,19.21875762939453,15.989106178283691,53.977378845214844,24.67152500152588
v2_softmax_blend_3baselines,25.695833206176758,1,31.4603328704834,28.56033706665039,17.170421600341797,63.55733108520508,26.902281045913696
