Method,mean_l2,std_l2,median_l2,min_l2,max_l2,mae_x,mae_y,rmse_x,rmse_y
SimRBF Multiquadric s2.0,58.07166627310082,43.55966647631467,47.46962396086908,0.7918445596160413,352.0436695504178,35.637898784753574,38.08329780282098,49.23745613221448,53.34262724023275
SimRBF Multiquadric s1.0,58.32889862946215,43.47378052503795,47.0656983722791,0.6889000522637416,352.4044617453703,35.88132038137009,38.2687252214163,49.37368217993485,53.4272357179372
GPR,59.75389901310545,42.265230322391155,48.655142787842095,1.6248415547429296,338.9293476317921,37.40319976226851,38.737213821062234,50.1336917720779,53.32439489366443
SimGPR,59.978108912740865,45.60607123377113,48.401388710946826,1.3652354790862844,376.89649598889014,36.738680377768425,39.61877557532298,51.044290880263354,55.423529756408286
SimPWA,60.02825653388057,55.04964438004148,47.34919720467124,0.0,429.29826461331055,35.30200592020626,40.37154414540628,51.60298943824693,63.015763185909165
PWA,60.02825653388057,55.04964438004148,47.349197204671,0.0,429.29826461331055,35.30200592020626,40.371544145406276,51.60298943824693,63.01576318590916
Similarity,65.16383405303208,51.247994799866724,52.31354152999642,1.9055844355538356,458.4708876793779,40.22206144419554,42.52584418449648,57.168928594727284,60.03662084785621
TPS,65.18338815696359,50.65410133923569,52.14930242506062,2.197071713510874,583.8704577607156,40.26404249724859,42.74549197661308,54.88466158616298,61.66348998134394
SimTPS,65.18338817865761,50.65410140970215,52.14930244540386,2.1970717141996037,583.8704614580075,40.26404250685707,42.74549199423202,54.884661598805565,61.66349005090894
SimRBF Thin Plate s1.0,65.30399827203834,51.28832818520616,52.267825314319786,2.194659437244405,644.5285182079643,40.29144101984089,42.85451841581234,54.94348498082739,62.260085580646255
RBF Thin Plate s1.0,65.49022168848737,51.33262175298467,52.380539138535724,2.17255087836832,647.1697922264085,40.37840333603031,43.018157457710736,54.96130443158705,62.47609309184294
Polynomial,65.75884194206665,53.91188232929299,50.93222643550003,0.2776973674851071,398.0245093728078,40.45887346909893,43.41640084731737,56.594597588549505,63.4646978535263
RBF Multiquadric s0.0,66.39677115845396,54.366507275500105,52.8788271812132,1.3799318750874143,773.7591568309916,40.63359214254311,43.62951809675125,55.78611698535865,65.20856910944288
SimRBF Multiquadric s0.0,67.3741068987863,55.380121360736474,53.443739343212364,1.8485019793267348,846.6925111427886,41.42497393014613,44.153244743420814,56.550763781561216,66.3945723539285
RBF Multiquadric s1.0,71.79929162913356,49.362844088519054,60.254683704462344,2.237278149083473,320.34347512352775,45.231757124642506,45.994683874663004,60.88670828929461,62.326859447971174
Original Gaze,74.98467206560319,58.00781339618713,58.058019131259826,0.5263210891546071,415.1369900472799,45.19132217538326,50.04635187189284,61.8198453173194,71.87429432513146
RBF Multiquadric s2.0,94.65602876785195,66.85599489265618,77.4793328281623,2.605447207540083,373.21687802611046,56.69918862826547,62.94346677217195,80.20307570035132,83.64780023043642
