Method,mean_l2,std_l2,median_l2,min_l2,max_l2,mae_x,mae_y,rmse_x,rmse_y
SimRBF Multiquadric s2.0,51.95307680895672,39.51727927714502,41.78197842602705,0.31579417965117673,352.0436695504178,31.950232610380915,34.0881037788164,44.20322122645757,48.029290902428315
SimRBF Multiquadric s1.0,52.029968874193656,39.514179239478906,42.28508094189057,0.6889000522637416,352.4044617453703,32.037031331840254,34.15693470370885,44.26634965957988,48.051829411948916
SimGPR,53.330993468995416,41.26995133146984,43.41705724450627,0.3941639511565007,376.89649598889014,32.828893016761704,35.00959143357216,45.809963899444405,49.485866212723025
GPR,53.71973962615198,38.6647392700446,44.20330276097302,0.7338836358047195,338.9293476317921,33.73659390331736,34.761510832276265,45.32798170297694,48.230141644584464
SimPWA,56.619225758938825,51.97156191782617,43.02437840155063,0.0,429.29826461331055,32.37740565093691,38.52282723439468,47.41031123825661,60.49001869739966
PWA,56.61922575893883,51.97156191782617,43.02437840155063,0.0,429.29826461331055,32.37740565093691,38.52282723439468,47.41031123825661,60.49001869739966
TPS,57.3640553451119,45.89907309057596,46.28697024828523,1.3083396996801955,583.8704577607156,35.346826839371886,37.606459203895824,48.924172129099865,54.80679827989684
SimTPS,57.364055366692334,45.89907315792268,46.28697027242608,1.3083397091350966,583.8704614580075,35.34682685125748,37.606459219725636,48.924172151307495,54.806798339061096
SimRBF Thin Plate s1.0,57.45626357900611,46.426174342076855,46.37806050997588,1.2896826767831449,644.5285182079643,35.37716683497454,37.68676906672661,49.014562438811296,55.26467730325591
Polynomial,57.46350831455821,48.388477858092614,44.13932844623688,0.2776973674851071,398.0245093728078,35.28856741455062,37.98377359401999,49.88434354624086,56.16984819456999
RBF Thin Plate s1.0,57.592713112378405,46.49100273409046,46.329009272128616,0.5092877951136975,647.1697922264085,35.40566581209013,37.82955892212097,49.02871040253,55.44834979628138
Similarity,58.63268833178161,46.191077167031395,47.498180438923086,1.9055844355538356,458.4708876793779,36.00443384897967,38.37998421596445,51.08357476063064,54.423121378119696
RBF Multiquadric s0.0,58.704195228800415,49.510998440825524,46.71374769700357,0.4102148015677802,773.7591568309916,35.927982238710335,38.520383230562324,50.35009890301186,57.9861107897871
SimRBF Multiquadric s0.0,59.23116139232038,50.47631362215833,47.01991697223417,0.8811109223109093,846.6925111427886,36.406965432429686,38.77387285118067,50.96671963579165,58.80971183684034
RBF Multiquadric s1.0,65.8033325610673,45.27118825990591,55.41535066287598,2.237278149083473,320.34347512352775,41.43078543393569,42.10565618940329,55.70157836943521,57.244154546642825
Original Gaze,73.16885594381931,53.371583536176686,59.628318351341804,0.5263210891546071,415.1369900472799,45.93360862689014,47.022693784471514,61.32615163452278,66.6431582008685
RBF Multiquadric s2.0,88.73422662502486,62.889838013579755,73.21463843883424,2.071128292472289,373.21687802611046,53.178987080247765,58.878985236320986,75.15375982727262,78.61810913485643
