Method,mean_l2,std_l2,median_l2,min_l2,max_l2,mae_x,mae_y,rmse_x,rmse_y
Neural Multi-Baseline,5.816837310791016,4.353374481201172,4.467766284942627,,,2.648883581161499,4.639917850494385,3.8155517578125,6.182962894439697
Similarity,21.661540441972416,15.679603174449293,17.81306755832028,0.28229874847222663,96.59655990468787,10.739144053121558,16.70415985605231,14.974141773620326,22.155075449452337
Original Gaze,21.96262331084152,15.955694670420613,18.08147618803326,0.2622486605220618,97.50817467732492,11.092975974654893,16.800964939136325,15.52326868920119,22.270364709911558
Polynomial,25.22703370288838,17.629090595282847,21.0188494135946,0.4968335565615426,111.87404691912954,15.295405770479677,16.9199389630237,21.017579947824213,22.482201800539325
SimRBF Multiquadric s2.0,47.90691462965792,23.810044570271447,44.75514592848008,0.07256998854524196,140.42763064561342,26.994344115370488,35.38901188385596,31.61224746990379,43.15850439569479
SimPWA,47.90691462965792,23.810044570271447,44.75514592848008,0.07256998854524196,140.42763064561342,26.994344115370488,35.38901188385596,31.61224746990379,43.15850439569479
RBF Multiquadric s2.0,48.08937866813773,24.018513067592476,45.056715251599975,0.607513942275981,141.50906229418345,26.888981601344888,35.87440647530381,31.290575465871637,43.70786196647284
SimRBF Multiquadric s1.0,50.550731766675966,24.466470222026636,47.91766488469938,2.314909156665387,142.23627970854218,28.221876425476744,37.69935557706361,32.736087549033094,45.63258944278506
RBF Multiquadric s1.0,50.83289469687301,24.761668681734946,48.29462234873822,2.2868050260587083,143.36939578058016,28.196425256595603,38.24095286771386,32.520502388877425,46.255165587666106
SimTPS,75.64748187990678,44.51718463738378,62.832048264539814,1.5682882384638528,170.07280088458782,41.42595135743411,58.430828676557155,51.631433832785085,70.98250688148791
TPS,76.42779689533171,45.819137748565204,62.83205003826343,1.5682888161337976,173.82160927049623,42.10014184812286,58.88251381921792,52.91231552866504,71.69998875656161
SimRBF Multiquadric s0.0,80.53834260019858,72.71722074322003,67.21433032260143,0.4814191262133912,705.4052240334474,40.18825325207525,62.05681974649451,58.40969624618655,91.44684907547865
RBF Multiquadric s0.0,80.90947604461672,72.69470493964707,67.97928518140175,0.4814591914167957,705.403347746557,40.29706395123991,62.63021273630297,58.39678587968807,91.76425687051915
