Method,mean_l2,std_l2,median_l2,min_l2,max_l2,mae_x,mae_y,rmse_x,rmse_y
SimRBF Multiquadric s2.0,40.94109184964708,28.103685803616536,34.22292221518885,1.0542331066106432,182.7713847702006,25.20039366126105,26.351221290234776,34.2801394566001,35.928570754006984
SimGPR,42.273839541117326,28.262168776115875,35.87868451950601,0.9598063387151348,176.97811426942235,26.474356786869834,26.71515205076718,35.612360945096405,36.298587319535805
GPR,42.71951919064065,26.77919355033266,37.22385167095566,0.9017497685290654,158.52068613415867,26.792421102547273,27.24220514144462,34.858623466152764,36.42744703009913
Polynomial,43.23355725591864,31.492859251672996,35.48278352101937,0.8242071279540418,345.43172228957377,26.682736931610528,27.661685184046256,37.11897407040236,38.51132847367484
TPS,45.01799476622945,35.44514845141476,37.1356660305163,0.8985720170361712,603.4561511870917,28.162044708644316,28.64275935670719,40.57901827950272,40.451473112692405
SimTPS,45.01799480425522,35.44514875361391,37.13566602625423,0.898572024920414,603.456169460979,28.162044737719665,28.64275937903987,40.579018476193966,40.45147322249804
SimRBF Thin Plate s1.0,45.192167378266696,36.72483381886891,37.17835105774067,0.8360273993354835,678.2669879969811,28.266132814880706,28.74566930873954,41.42111857188468,40.93087279331678
RBF Thin Plate s1.0,45.20569223434533,37.32821581583435,36.865364756460636,0.7306338338803293,701.9128471736055,28.23851904461247,28.746904425440658,41.985710974436124,40.91638278673922
SimRBF Multiquadric s0.0,47.37200753681448,53.30091925721867,37.98803470147301,0.9377766732715238,1378.3851043307,29.92565646246808,30.020754312485405,52.902901609297125,47.81608613269786
RBF Multiquadric s0.0,47.67140910279776,50.79688755012279,39.25687710771805,0.8976422556452905,1293.9162585799272,30.023801442243855,30.399003517515283,50.56374012464416,47.918631191151306
Similarity,48.74507758730059,33.51185592509792,40.094506639804116,2.109579319331765,202.25320032458245,29.48969675756338,31.75894699873853,39.836934275544884,43.72808873095635
PWA,52.5640763343234,47.6763422520511,38.28837943815329,0.0,312.14419744726956,27.92465459512189,37.24213258244574,38.743280162057694,59.45564711362242
SimPWA,52.5640763343234,47.67634225205109,38.28837943815329,0.0,312.14419744726956,27.92465459512189,37.24213258244575,38.743280162057694,59.45564711362242
RBF Multiquadric s1.0,55.067690121805036,34.1563678158014,48.051357701122996,1.6197337122837696,269.3385356736556,33.63499006636908,35.83341906984976,44.4297630265134,47.1710092655152
Original Gaze,74.26149502383763,45.15565475374282,65.21091418682637,2.5335960254150276,205.84948717956658,49.709714295076886,44.941801877833626,63.68662714601137,59.14233950546433
RBF Multiquadric s2.0,78.79527920580232,53.55888190010142,64.44355185051253,1.1145230561926471,399.8494409858621,45.3618945493539,53.588300812723475,64.30232709266235,70.30263569723125
