num_points,dataset_name,num_samples,mean_l2,std_l2,median_l2,mae_x,mae_y,rmse_x,rmse_y,original_mean_l2,original_median_l2,sim_rbf_mean_l2,sim_rbf_median_l2,similarity_mean_l2,similarity_median_l2,polynomial_mean_l2,polynomial_median_l2,tps_mean_l2,tps_median_l2,pwa_mean_l2,pwa_median_l2,simtps_mean_l2,simtps_median_l2,simpwa_mean_l2,simpwa_median_l2,orig_improvement_pct,sim_improvement_pct
4,4points_1,1034,47.90813,31.583345,41.682625,33.41462,28.03811,43.125652,37.85333,70.96263906072124,59.70190085432837,58.315799964143736,48.63622560629656,60.760679795474786,51.65369687022039,91.77225522321093,72.77451270865683,58.71481818049991,47.66156154513756,84.95278917560141,55.16991867026593,58.71481818152596,47.661561543875166,84.95278917560141,55.1699186702659,32.48823425978004,17.847083165781967
6,6points_1,1034,44.607304,30.141623,37.855446,30.191202,26.970768,39.63727,36.43097,70.96263906072124,59.70190085432837,52.269405248533054,42.93539174047788,55.795927219771016,47.46292150205113,56.692024245093805,45.41326577669944,53.42042397493008,43.03462243602807,75.98948039152954,46.867054707703,53.420423977349735,43.034622435665284,75.98948039152955,46.86705470770285,37.13973407723009,14.65886514819934
6,6points_2,1034,44.839783,29.42487,38.14688,30.865955,26.617077,39.97222,35.75823,70.96263906072124,59.70190085432837,52.16712022274914,42.86283504346571,55.96811067384827,46.594324739375146,60.44277998021807,49.1512993607985,54.10269627424467,43.44186611441759,73.7298095154741,45.97294621648647,54.10269627685584,43.44186611857772,73.7298095154741,45.972946216486434,36.812126340911185,14.045892272025535
6,6points_3,1034,48.39655,32.64985,42.04137,33.316257,28.375034,44.11207,38.24087,70.96263906072124,59.70190085432837,49.60088076179188,40.38688911849084,53.86664982796281,43.319807564942835,67.73269249473591,54.02064848631235,53.89015080961274,44.899901477428884,122.16132263200173,63.13978734038352,53.890150813244084,44.89990147711849,122.16132263200171,63.13978734038349,31.79995859026381,2.4280446605820605
6,6points_4,1034,48.815296,32.34944,41.390644,32.92388,29.644974,42.360474,40.43525,70.96263906072124,59.70190085432837,51.49464324088831,42.582259275581265,54.62900521699259,44.88104767126241,73.76618760791246,58.29729852728171,54.459270188136266,44.46926597184307,147.04854941991763,138.7064588511601,54.45927019213546,44.469265972396954,147.04854941991763,138.7064588511601,31.209863642013826,5.203156870625957
8,8points_1,1034,43.977165,29.312534,36.35988,29.984726,26.514393,39.12747,35.528255,70.96263906072124,59.70190085432837,50.505956639960154,40.576032673199066,54.33777069596737,44.74134487470887,57.065966954203745,46.54410067653699,53.7359467651295,43.94553817601144,72.31885760679558,45.81402331041005,53.73594677220241,43.94553817646241,72.31885760679558,45.81402331041012,38.02772021410079,12.926775081865543
8,8points_2,1034,47.915848,32.39727,41.2359,32.669918,28.346436,43.150883,38.516403,70.96263906072124,59.70190085432837,48.65573473716237,40.32781432284992,53.27414069183967,42.87732832327401,54.234143509449886,44.5710688454853,52.86274821911773,43.90781238733465,120.36587240092281,62.41800040078964,52.86274822484171,43.90781239001498,120.3658724009228,62.418000400789694,32.47735933648166,1.5206572520976533
8,8points_3,1034,43.92643,29.438019,37.40502,29.735096,26.67149,39.06884,35.633606,70.96263906072124,59.70190085432837,49.60958842405984,40.94102054020931,53.65274976777517,45.13007548759248,57.369089705596835,47.20163631364724,53.401180456514545,43.46051725544182,72.1338604870938,45.84103142184803,53.401180468697774,43.4605172546186,72.13386048709377,45.84103142184801,38.099216249626465,11.455766629114871
8,8points_4,1032,48.767315,32.393852,41.869354,32.440384,29.837814,41.92182,40.867756,70.99268520444474,59.70190085432837,51.02289378790707,42.30313807791688,54.50868964441079,44.53765715426129,62.23327288811146,49.6823598157807,54.830771432607904,44.97252490115706,147.18954472977276,138.73050766108435,54.83077144238017,44.9725249634074,147.18954472977276,138.73050766108454,31.30656380942832,4.420719229282513
10,10points_1,1034,43.68113,28.821445,36.77072,29.56993,26.642797,38.513462,35.432045,70.96263906072124,59.70190085432837,49.0774170976376,40.74595909974967,53.42829479415568,44.32755178267952,50.681103709294334,41.191305981753004,52.75126255862226,42.70309335966526,63.97000567498217,44.52048732094792,52.75126256625569,42.703093371663016,63.97000567498218,44.52048732094792,38.44489151793047,10.995459747475076
